Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,8.9111,,-14.8342,-6.18608,-31.7404,20.7949,,-18.7206,-9.10623,24.0708,2.48279,4.55004,2.09273,-1.14142,-11.9977,-11.1653,-172.641,77.4785,176.576,8.01123,913.225,-24.0791
2,0,8.89184,,-14.8252,-6.2015,-31.7322,20.7924,,-18.7136,-9.12033,24.1435,2.50066,4.54015,2.08934,-1.11587,-12.0072,-11.1663,-172.554,77.4386,176.493,7.86958,913.187,-24.0934
3,0,8.93521,,-14.7886,-6.12204,-31.7805,18.9562,,-18.351,-8.85286,26.0361,2.03037,4.58738,2.40041,-0.526351,-12.3267,-10.6707,-174.188,77.6296,177.785,6.61303,913.781,-23.522
4,0,8.95739,,-14.8155,-6.21571,-31.7172,19.5255,,-18.3778,-8.87184,26.2609,2.23177,4.55059,2.40781,-0.535981,-12.2734,-10.7249,-173.261,77.3981,176.879,7.23613,913.732,-23.7719
5,0,9.05465,,-14.8088,-6.21063,-31.7447,18.3847,,-18.177,-8.68148,27.3353,2.02307,4.59461,2.64216,-0.0316183,-12.5357,-10.3897,-173.658,77.4874,177.067,6.47093,914.071,-23.087
6,0,9.06271,,-14.8154,-6.17635,-31.7918,17.6002,,-18.0763,-8.59729,27.4403,1.91896,4.58815,2.61943,0.241957,-12.7215,-10.344,-174.088,77.5198,177.486,6.22082,914.041,-23.3327
7,0,9.05056,,-14.8222,-6.20558,-31.7895,17.1699,,-17.9686,-8.522,27.8466,1.91744,4.5967,2.65786,0.481017,-12.859,-10.2692,-174.067,77.4876,177.426,6.17513,914.136,-23.3704
8,0,9.03746,,-14.8062,-6.25757,-31.7797,16.8944,,-17.8898,-8.44677,28.1622,1.96393,4.63897,2.68957,0.681173,-12.9603,-10.2206,-173.85,77.4685,177.185,6.18588,914.289,-23.3919
9,0,8.98899,,-14.7979,-6.32256,-31.741,16.7813,,-17.7728,-8.31398,28.9797,2.05722,4.70805,2.78077,0.855078,-13.0058,-10.1262,-173.491,77.4701,176.741,6.17807,914.608,-23.477
