Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,10.4001,,-11.0837,-2.35945,-39.0011,15.29,,-10.6957,-1.29428,32.0148,-16.1526,1.21747,2.82836,-17.0851,-20.411,-11.0568,148.483,76.4761,-149.159,-334.026,914.617,-6.04519
2,0,10.4314,,-11.0524,-2.37748,-39.0182,15.3225,,-10.6615,-1.29048,32.1544,-16.1621,1.20366,2.80332,-17.1068,-20.4203,-11.0932,148.834,76.5043,-149.493,-335.194,914.524,-6.03412
3,0,10.4374,,-11.0288,-2.39611,-39.0278,15.3675,,-10.6271,-1.28373,32.2785,-16.1586,1.2024,2.78172,-17.1409,-20.4226,-11.1317,149.156,76.5369,-149.801,-336.333,914.398,-6.08365
4,0,10.6228,,-11.1029,-2.14392,-39.1429,15.3235,,-10.5779,-1.23111,32.5191,-16.2484,1.03485,2.83184,-17.1005,-20.437,-11.043,149.327,76.6373,-150.025,-337.513,914.248,-5.68343
5,0,10.5764,,-11.0582,-2.20999,-39.1482,15.3755,,-10.5251,-1.21346,32.6534,-16.2464,1.0443,2.74639,-17.1935,-20.4274,-11.1699,149.597,76.631,-150.238,-338.757,914.1,-6.20624
6,0,10.6785,,-11.114,-2.0272,-39.2387,15.433,,-10.5073,-1.20646,32.6862,-16.2929,0.889251,2.75411,-17.2118,-20.4197,-11.144,149.831,76.6636,-150.497,-339.694,913.952,-5.93722
7,0,10.7848,,-11.1855,-1.81666,-39.339,15.4034,,-10.459,-1.16697,32.7917,-16.3653,0.72712,2.73399,-17.2343,-20.4202,-11.1453,149.868,76.7204,-150.542,-340.766,913.798,-6.0806
8,0,10.8401,,-11.2201,-1.68099,-39.412,15.4144,,-10.4101,-1.12472,32.8855,-16.4038,0.616548,2.71462,-17.284,-20.4097,-11.1695,149.939,76.7687,-150.617,-341.757,913.613,-6.27362
9,0,10.8641,,-11.2528,-1.54896,-39.4867,15.4009,,-10.3473,-1.07471,33.0853,-16.4358,0.518697,2.69604,-17.3294,-20.3993,-11.1805,149.913,76.8316,-150.594,-342.701,913.508,-6.44728
10,0,10.7478,,-11.187,-1.66576,-39.4718,15.4623,,-10.3163,-1.06069,33.0835,-16.407,0.596609,2.61451,-17.445,-20.3722,-11.3074,149.995,76.8427,-150.614,-343.671,913.547,-6.98219
11,0,10.803,,-11.2143,-1.57119,-39.514,15.4462,,-10.2962,-0.995284,33.2361,-16.4395,0.600102,2.65804,-17.4625,-20.3519,-11.2538,149.903,76.968,-150.559,-344.549,913.488,-6.91447
12,0,10.8553,,-11.1966,-1.54537,-39.5476,15.4686,,-10.2837,-0.96301,33.3077,-16.4823,0.608858,2.69259,-17.4926,-20.332,-11.2256,149.894,77.0316,-150.584,-345.32,913.455,-6.97462
13,0,10.937,,-11.1812,-1.46563,-39.6138,15.4213,,-10.2952,-0.941867,33.2104,-16.5532,0.584258,2.70035,-17.5082,-20.3209,-11.1963,149.799,77.1001,-150.5,-346.113,913.348,-6.94253
14,0,10.9471,,-11.1537,-1.43962,-39.6485,15.4075,,-10.2744,-0.88828,33.3397,-16.5854,0.601977,2.7303,-17.5489,-20.2889,-11.1715,149.623,77.1766,-150.351,-346.867,913.234,-7.08239
15,0,10.9316,,-11.1157,-1.41775,-39.6851,15.3515,,-10.2556,-0.83616,33.4642,-16.611,0.656706,2.74714,-17.5874,-20.2626,-11.153,149.373,77.2657,-150.109,-347.621,913.095,-7.1478
16,0,10.8439,,-11.0509,-1.48821,-39.6917,15.3631,,-10.2429,-0.78875,33.5099,-16.593,0.779241,2.73835,-17.661,-20.22,-11.1802,149.186,77.3356,-149.905,-348.253,913.08,-7.30015
17,0,10.7594,,-10.9863,-1.55513,-39.6906,15.3412,,-10.218,-0.719242,33.6621,-16.5776,0.934352,2.76457,-17.7136,-20.1829,-11.1728,148.918,77.4416,-149.636,-348.932,913.027,-7.31847
18,0,10.6446,,-10.9059,-1.61887,-39.7079,15.3324,,-10.1996,-0.659675,33.6495,-16.5501,1.0666,2.76738,-17.7743,-20.1495,-11.1819,148.697,77.5059,-149.393,-349.439,913.079,-7.16456
19,0,10.5339,,-10.8247,-1.67846,-39.7304,15.3338,,-10.1778,-0.604087,33.5962,-16.5122,1.21684,2.76308,-17.8396,-20.1161,-11.2043,148.433,77.5955,-149.096,-349.982,913.124,-7.12462
20,0,10.3004,,-10.7341,-1.87526,-39.6608,15.2951,,-10.1314,-0.524831,33.6983,-16.4327,1.50507,2.72925,-17.9352,-20.0759,-11.28,148.006,77.6982,-148.608,-350.665,913.142,-7.52698
21,0,10.1447,,-10.6386,-2.04515,-39.6064,15.1982,,-10.0861,-0.465115,33.7562,-16.396,1.77754,2.70969,-17.9811,-20.0704,-11.3173,147.638,77.7732,-148.185,-351.163,913.056,-7.48578
22,0,10.1037,,-10.6419,-2.0296,-39.6094,15.0918,,-10.0235,-0.407252,33.9451,-16.4179,1.87913,2.75079,-17.9679,-20.083,-11.2538,147.315,77.8288,-147.877,-351.461,913.073,-7.09983
23,0,10.0074,,-10.6,-2.13585,-39.5848,15.0128,,-9.96789,-0.393003,34.02,-16.4193,2.01305,2.75406,-17.9917,-20.1008,-11.2576,147.086,77.8407,-147.643,-351.796,913.205,-7.20452
24,0,9.85097,,-10.5818,-2.21092,-39.5563,14.8834,,-9.94303,-0.385557,34.0432,-16.414,2.10985,2.79646,-17.9944,-20.1186,-11.1975,146.76,77.847,-147.351,-352.14,913.376,-7.1098
25,0,9.73324,,-10.5674,-2.30667,-39.5189,14.8126,,-9.9096,-0.398729,33.9859,-16.4214,2.18255,2.80603,-18.0176,-20.1447,-11.1889,146.597,77.8058,-147.196,-352.369,913.506,-7.0724
26,0,9.64016,,-10.5616,-2.38946,-39.4798,14.6787,,-9.89985,-0.427129,33.8838,-16.4488,2.24553,2.81441,-18.0144,-20.1824,-11.1588,146.338,77.7752,-146.953,-352.644,913.589,-7.15085
27,0,9.51587,,-10.5066,-2.64071,-39.3604,14.5917,,-9.87042,-0.456617,33.8103,-16.4616,2.4078,2.77327,-18.047,-20.221,-11.2158,146.268,77.6887,-146.853,-352.918,913.595,-7.51096
28,0,9.42292,,-10.4999,-2.83218,-39.2316,14.4712,,-9.8623,-0.47229,33.7896,-16.4876,2.54292,2.80335,-18.0257,-20.2639,-11.1733,146.134,77.6226,-146.751,-353.066,913.644,-7.5026
29,0,9.36104,,-10.522,-3.01379,-39.0942,14.4492,,-9.85911,-0.525299,33.7069,-16.5094,2.61433,2.82531,-18.0187,-20.3043,-11.1488,146.23,77.5192,-146.87,-352.989,913.691,-7.34908
30,0,9.4311,,-10.5999,-3.01828,-39.0415,14.434,,-9.87408,-0.595044,33.582,-16.5756,2.5367,2.89297,-17.969,-20.352,-11.0545,146.385,77.4349,-147.087,-352.788,913.808,-6.83075
31,0,9.47979,,-10.6765,-3.04025,-38.9916,14.4396,,-9.88746,-0.661498,33.4058,-16.632,2.42836,2.91508,-17.9577,-20.3871,-11.0239,146.529,77.342,-147.256,-352.646,913.931,-6.59981
32,0,9.54022,,-10.7543,-3.06603,-38.9321,14.4314,,-9.88421,-0.707971,33.3772,-16.6898,2.32478,2.96667,-17.9265,-20.426,-10.9624,146.639,77.2622,-147.412,-352.447,913.976,-6.29531
33,0,9.6485,,-10.8013,-3.10402,-38.8912,14.4776,,-9.91104,-0.782614,33.1418,-16.7504,2.21916,2.99999,-17.9022,-20.4637,-10.9276,146.914,77.1649,-147.711,-352.073,914.112,-5.87634
34,0,9.65959,,-10.8342,-3.27481,-38.7654,14.5421,,-9.89693,-0.827475,33.1008,-16.7656,2.21365,3.00626,-17.9162,-20.4926,-10.9527,147.136,77.084,-147.926,-351.868,914.103,-5.76881
35,0,9.86432,,-10.9441,-3.18698,-38.753,14.5481,,-9.88794,-0.870377,33.09,-16.8605,2.05599,3.10612,-17.8277,-20.549,-10.8229,147.364,77.037,-148.226,-351.408,914.076,-4.89454
36,0,10.0529,,-11.0068,-3.17743,-38.7323,14.604,,-9.89774,-0.937121,33.0177,-16.9455,1.89901,3.16924,-17.778,-20.595,-10.7564,147.672,76.9534,-148.579,-350.933,914.216,-4.34267
37,0,10.0589,,-11.0378,-3.31653,-38.6305,14.7007,,-9.89514,-0.998811,32.9195,-16.9469,1.85534,3.16996,-17.7945,-20.6226,-10.7842,147.912,76.8601,-148.803,-350.505,914.289,-4.08894
38,0,10.2522,,-11.106,-3.22482,-38.6512,14.7074,,-9.90488,-1.03895,32.8623,-17.028,1.69257,3.2706,-17.6992,-20.6764,-10.6538,148.071,76.8147,-149.024,-349.866,914.349,-3.11204
39,0,10.438,,-11.1588,-3.18819,-38.65,14.7142,,-9.92018,-1.07042,32.7164,-17.1067,1.55855,3.35098,-17.6242,-20.7259,-10.5681,148.224,76.7677,-149.226,-349.359,914.291,-2.55817
40,0,10.569,,-11.2238,-3.18631,-38.5972,14.7852,,-9.8669,-1.03969,33.2733,-17.1498,1.45132,3.57513,-17.5079,-20.7581,-10.3399,148.319,76.7539,-149.497,-348.755,914.391,-1.76632
41,0,10.8132,,-11.2606,-3.0795,-38.6534,14.7056,,-9.94893,-1.11396,32.6712,-17.2561,1.26994,3.59831,-17.4206,-20.8255,-10.2853,148.485,76.7025,-149.638,-348.125,914.16,-0.75305
42,0,11.0139,,-11.2838,-3.02491,-38.6797,14.7565,,-9.96033,-1.16432,32.5293,-17.3179,1.10915,3.70056,-17.3228,-20.8863,-10.1707,148.764,76.6433,-149.978,-347.321,914.164,0.154058
43,0,11.1847,,-11.2658,-3.03503,-38.6947,14.7969,,-9.96477,-1.1913,32.4247,-17.3667,1.00809,3.79978,-17.2344,-20.9431,-10.0717,149.028,76.6118,-150.29,-346.706,914.24,0.996302
44,0,11.3639,,-11.2271,-2.99884,-38.7416,14.7915,,-9.99364,-1.23324,32.2467,-17.4236,0.884683,3.95817,-17.0958,-21.0134,-9.88864,149.229,76.5709,-150.586,-345.915,914.308,2.19721
45,0,11.6068,,-11.1899,-2.93737,-38.8091,14.7916,,-10.0027,-1.25807,32.1106,-17.5075,0.726653,4.10148,-16.9546,-21.0878,-9.72094,149.466,76.5425,-150.907,-345.161,914.293,3.31706
46,0,11.7013,,-11.0348,-3.06389,-38.8443,14.7807,,-9.99854,-1.29333,31.9861,-17.5365,0.71693,4.18841,-16.8464,-21.17,-9.62721,149.72,76.4722,-151.195,-344.454,914.318,4.19389
