Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,10.2197,,-14.9468,-4.14762,-32.2946,20.2934,,-17.595,-12.0862,28.7293,-3.12466,4.67176,3.25588,-6.30001,-5.23743,-10.7188,169.488,81.3241,-167.042,-255.201,915.311,12.7041
2,0,10.2734,,-14.8907,-4.04592,-32.3426,17.8859,,-17.0124,-11.5652,30.642,-3.73152,4.80793,3.73865,-5.63363,-5.69831,-10.1872,165.707,81.5682,-163.723,-256.886,916.058,13.5775
3,0,10.327,,-14.8781,-4.04601,-32.3494,16.5127,,-16.6195,-11.2509,31.6343,-4.01793,4.86679,3.95354,-5.1407,-6.0663,-9.94149,164.326,81.5261,-162.557,-257.258,916.432,13.8723
4,0,10.3701,,-14.8831,-4.08712,-32.3351,15.6361,,-16.4119,-10.9798,31.7186,-4.14498,4.90736,4.07653,-4.75101,-6.33733,-9.81348,163.905,81.487,-162.249,-257.435,916.679,14.0611
5,0,10.4112,,-14.8987,-4.13791,-32.3057,15.0521,,-16.2331,-10.757,31.8681,-4.15336,4.96209,4.18674,-4.41973,-6.56737,-9.70824,164.074,81.5024,-162.508,-257.426,916.884,14.201
6,0,10.4381,,-14.909,-4.19835,-32.2706,14.6813,,-16.0837,-10.5908,32.0127,-4.08159,5.03216,4.28377,-4.13988,-6.76732,-9.61645,164.659,81.5404,-163.167,-257.289,917.054,14.342
7,0,10.4406,,-14.9087,-4.26143,-32.239,14.4312,,-15.9502,-10.4793,32.171,-3.96929,5.11612,4.36803,-3.90545,-6.94962,-9.53955,165.398,81.5843,-163.967,-257.108,917.217,14.4577
8,0,10.4324,,-14.914,-4.32544,-32.2024,14.2559,,-15.8395,-10.3879,32.2899,-3.85398,5.16997,4.45031,-3.70762,-7.10914,-9.46542,166.177,81.6095,-164.802,-256.989,917.332,14.6161
9,0,10.4241,,-14.9031,-4.3302,-32.2045,14.0029,,-15.7198,-10.1822,32.3866,-3.81457,5.24097,4.49506,-3.5872,-7.2855,-9.43384,166.323,81.7075,-164.986,-257.253,917.481,14.6569
10,0,10.4015,,-14.8796,-4.33663,-32.1967,13.8376,,-15.6179,-10.0129,32.4418,-3.80323,5.27008,4.53098,-3.52488,-7.42454,-9.4112,166.349,81.7382,-165.051,-257.455,917.633,14.6126
11,0,10.4016,,-14.8846,-4.40492,-32.1626,13.8811,,-15.6175,-9.97113,32.1062,-3.67977,5.28396,4.60365,-3.38241,-7.5313,-9.3522,167.299,81.679,-166.037,-256.88,917.723,14.9538
12,0,10.3932,,-14.8844,-4.46215,-32.1345,13.8475,,-15.5872,-9.89833,31.9847,-3.57128,5.31037,4.66004,-3.25027,-7.63295,-9.30809,168.081,81.6908,-166.847,-256.812,917.722,15.142
13,0,10.3883,,-14.8741,-4.4507,-32.1421,13.7251,,-15.5386,-9.73814,31.9842,-3.52844,5.34647,4.67738,-3.19538,-7.74938,-9.30515,168.252,81.7816,-167.035,-257.141,917.705,15.1232
14,0,10.3778,,-14.8597,-4.51106,-32.1206,13.7798,,-15.5301,-9.68218,31.6975,-3.4299,5.35415,4.71654,-3.0892,-7.83221,-9.28081,169.037,81.7116,-167.83,-256.812,917.728,15.3862
15,0,10.3088,,-14.8611,-4.52044,-32.125,13.6344,,-15.5142,-9.52104,32.4152,-3.40809,5.25781,4.71382,-2.96519,-7.99742,-9.28295,168.945,81.5829,-167.772,-256.365,917.779,14.9372
16,0,10.3477,,-14.8525,-4.40963,-32.1976,13.4965,,-15.5304,-9.34359,32.0519,-3.38173,5.3046,4.63773,-2.98763,-8.06797,-9.37659,169.055,81.8012,-167.792,-257.252,917.649,15.2335
17,0,10.2806,,-14.8382,-4.3619,-32.2056,13.4238,,-15.499,-9.21985,32.0484,-3.40355,5.28919,4.63577,-3.03688,-8.1182,-9.38514,168.611,81.8332,-167.363,-257.5,917.703,15.1417
18,0,10.256,,-14.8117,-4.32121,-32.2168,13.3918,,-15.4762,-9.1331,32.0483,-3.42286,5.28506,4.64479,-3.07056,-8.17944,-9.37972,168.401,81.8453,-167.164,-257.56,917.794,15.2376
19,0,10.2615,,-14.8088,-4.3042,-32.2204,13.389,,-15.4698,-9.08726,32.1177,-3.41156,5.26618,4.68477,-3.05405,-8.27095,-9.34587,168.577,81.836,-167.361,-257.405,917.804,15.5312
20,0,10.2236,,-14.8076,-4.30351,-32.2096,13.4052,,-15.4433,-9.05559,32.3151,-3.37349,5.26014,4.70008,-3.07048,-8.3578,-9.3345,168.692,81.8503,-167.487,-257.4,917.849,15.5959
21,0,10.2028,,-14.7872,-4.25735,-32.2229,13.4142,,-15.398,-8.99553,32.4469,-3.39645,5.24009,4.68114,-3.14657,-8.41001,-9.35831,168.425,81.8748,-167.218,-257.655,917.913,15.4842
22,0,10.2096,,-14.7727,-4.25376,-32.2244,13.409,,-15.4088,-8.93835,32.4231,-3.40022,5.22863,4.70181,-3.14691,-8.48935,-9.34798,168.45,81.8632,-167.243,-257.612,917.923,15.7694
23,0,10.1868,,-14.7548,-4.20926,-32.2374,13.3935,,-15.3985,-8.84965,32.3321,-3.43192,5.21847,4.67439,-3.21223,-8.53322,-9.38106,168.112,81.8925,-166.895,-257.893,917.992,15.6391
24,0,10.1661,,-14.732,-4.20737,-32.2219,13.3904,,-15.3975,-8.75976,32.0944,-3.45773,5.21764,4.7029,-3.24536,-8.58284,-9.36512,167.889,81.889,-166.691,-257.906,918.005,15.8064
25,0,10.1749,,-14.721,-4.21142,-32.215,13.3773,,-15.4107,-8.69285,32.0811,-3.45569,5.22573,4.71696,-3.23147,-8.66295,-9.36156,167.982,81.8816,-166.784,-257.876,917.987,16.0053
26,0,10.1815,,-14.7184,-4.2224,-32.2064,13.3928,,-15.4186,-8.60123,31.8916,-3.43298,5.22985,4.72521,-3.219,-8.73741,-9.36884,168.183,81.8845,-166.977,-257.856,917.956,16.221
27,0,10.1808,,-14.7231,-4.19872,-32.2119,13.3693,,-15.4226,-8.51166,31.8563,-3.41865,5.23329,4.71599,-3.22065,-8.8041,-9.3867,168.209,81.915,-166.997,-257.937,917.909,16.2187
28,0,10.1719,,-14.7176,-4.2148,-32.195,13.3688,,-15.4222,-8.42938,31.7474,-3.39234,5.2529,4.75126,-3.20359,-8.87772,-9.36885,168.382,81.9226,-167.188,-257.939,917.855,16.3889
29,0,10.1595,,-14.7008,-4.17471,-32.2049,13.3771,,-15.3834,-8.33301,31.6623,-3.39906,5.26079,4.73304,-3.26586,-8.91484,-9.395,168.135,81.9817,-166.943,-258.1,917.868,16.1762
30,0,10.1669,,-14.7041,-4.17351,-32.199,13.3645,,-15.3611,-8.27215,31.7326,-3.37868,5.27286,4.7731,-3.23476,-9.00324,-9.3625,168.368,81.9818,-167.191,-257.982,917.934,16.5283
31,0,10.1633,,-14.7137,-4.16903,-32.1918,13.3459,,-15.339,-8.2045,31.849,-3.36151,5.27119,4.80128,-3.22483,-9.07775,-9.34323,168.453,82.002,-167.3,-258.004,918.016,16.5668
32,0,10.1542,,-14.7076,-4.19066,-32.1643,13.461,,-15.3183,-8.19536,31.6773,-3.30204,5.29012,4.85273,-3.22364,-9.09728,-9.30643,168.863,82.0074,-167.749,-257.854,918.166,16.6341
33,0,10.1767,,-14.7095,-4.15665,-32.1787,13.3886,,-15.3001,-8.11107,31.8358,-3.30998,5.30228,4.8498,-3.21962,-9.16688,-9.31402,168.826,82.0689,-167.708,-258.096,918.158,16.6901
34,0,10.1754,,-14.7048,-4.17224,-32.1675,13.4015,,-15.3038,-8.04056,31.7562,-3.29698,5.30957,4.85938,-3.21375,-9.22908,-9.31554,168.973,82.0578,-167.854,-258.055,918.197,16.8047
35,0,10.1888,,-14.6901,-4.18306,-32.1695,13.3858,,-15.3118,-7.97296,31.6137,-3.30698,5.30844,4.85684,-3.20886,-9.29448,-9.32963,168.994,82.0442,-167.869,-258.032,918.212,16.8495
36,0,10.1764,,-14.6922,-4.14937,-32.1866,13.3309,,-15.3128,-7.88752,31.6838,-3.32782,5.29793,4.82229,-3.23112,-9.34418,-9.36747,168.754,82.0635,-167.611,-258.185,918.162,16.7171
37,0,10.1574,,-14.6722,-4.14898,-32.1911,13.2615,,-15.3152,-7.80904,31.7988,-3.34554,5.30559,4.8095,-3.23484,-9.40086,-9.38445,168.555,82.0645,-167.401,-258.323,918.082,16.7367
38,0,10.1219,,-14.6554,-4.09636,-32.2043,13.2625,,-15.2937,-7.72517,31.7902,-3.36738,5.30438,4.76286,-3.33351,-9.40856,-9.44019,168.09,82.1225,-166.915,-258.687,918.039,16.4658
39,0,10.1086,,-14.6366,-4.05794,-32.2092,13.2848,,-15.2773,-7.67054,31.7483,-3.40059,5.29876,4.74695,-3.39651,-9.43607,-9.46097,167.847,82.1266,-166.665,-258.888,918.033,16.455
40,0,10.0822,,-14.6233,-4.04194,-32.1971,13.3135,,-15.264,-7.61453,31.7868,-3.42102,5.28923,4.74031,-3.46166,-9.45687,-9.47335,167.637,82.1342,-166.455,-259.028,918.115,16.4592
41,0,10.058,,-14.594,-4.04836,-32.1775,13.3383,,-15.2608,-7.59233,31.8455,-3.44376,5.29229,4.73434,-3.52374,-9.48817,-9.48758,167.433,82.1289,-166.251,-259.028,918.18,16.4516
42,0,10.0381,,-14.5957,-4.03124,-32.159,13.366,,-15.2572,-7.57279,31.9019,-3.47019,5.27185,4.72212,-3.5866,-9.51985,-9.50531,167.236,82.1244,-166.047,-259.102,918.237,16.4474
43,0,10.063,,-14.5768,-4.01799,-32.1541,13.3519,,-15.2495,-7.55853,31.9906,-3.51444,5.25945,4.71077,-3.62109,-9.57188,-9.51713,167.105,82.1143,-165.907,-259.256,918.28,16.4545
44,0,10.0717,,-14.5719,-4.01177,-32.1355,13.3624,,-15.2328,-7.53152,32.1269,-3.54793,5.23249,4.71353,-3.65523,-9.61796,-9.51788,167.007,82.0907,-165.816,-259.441,918.21,16.4462
45,0,10.0872,,-14.5576,-4.01347,-32.1175,13.4144,,-15.2363,-7.50695,32.0538,-3.56653,5.22072,4.70142,-3.69774,-9.65931,-9.54038,167.044,82.071,-165.843,-259.618,918.159,16.4207
46,0,10.0958,,-14.5476,-4.00842,-32.1036,13.443,,-15.2451,-7.47073,31.9776,-3.59095,5.20483,4.69265,-3.73164,-9.69875,-9.55419,167.017,82.05,-165.813,-259.764,918.164,16.3929
47,0,10.0949,,-14.5317,-4.01415,-32.0873,13.4632,,-15.2582,-7.42917,31.9024,-3.61372,5.19118,4.68241,-3.76621,-9.7354,-9.57493,166.959,82.0278,-165.749,-259.91,918.199,16.3588
48,0,10.0815,,-14.5141,-4.04124,-32.048,13.5598,,-15.2222,-7.27281,32.386,-3.63093,5.19365,4.75408,-3.77936,-9.7261,-9.52708,166.984,82.0067,-165.846,-260.079,918.395,16.3701
49,0,10.1357,,-14.5227,-4.03819,-32.0645,13.4839,,-15.3111,-7.3192,31.8741,-3.62785,5.16502,4.68061,-3.74045,-9.83789,-9.5989,167.338,81.9629,-166.105,-260.144,918.121,16.6542
50,0,10.1609,,-14.5227,-4.05622,-32.0676,13.4893,,-15.3132,-7.28191,31.8955,-3.61519,5.14185,4.65962,-3.71122,-9.91641,-9.6262,167.679,81.9296,-166.43,-260.244,918.088,16.583
