Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,184.274,-118.441,996.061,160.274,122.405,980.242,400.099,-50.121,994.949,353.133,163.105,1000.31,217.02,-172.818,696.713,241.12,-158.814,576.321,267.613,-181.629,446.687,340.067,-164.535,81.1445,413.173,-92.5344,74.3492,170.682,-197.025,45.5231,,,,,,,270.771,239.837,276.193,334.241,239.056,77.8166,395.917,165.132,82.9344,160.965,274.769,45.8068
2,0,184.342,-118.321,995.961,160.405,122.513,980.176,400.27,-50.0094,994.964,353.275,163.158,1000.23,217.103,-172.726,696.683,241.237,-158.743,576.316,267.666,-181.584,446.632,340.181,-164.539,81.061,413.234,-92.5701,74.213,170.725,-197.029,45.3923,,,,235.49,214.006,561.442,270.884,239.847,276.068,334.254,239.049,77.6836,396.033,165.097,82.7461,161,274.788,45.7364
3,0,184.401,-118.222,995.975,160.572,122.609,980.169,400.462,-49.9866,994.992,353.369,163.21,1000.21,217.186,-172.652,696.686,241.359,-158.685,576.357,267.758,-181.544,446.612,340.21,-164.509,81.0919,413.252,-92.4939,74.2673,170.727,-196.999,45.3757,,,,235.725,214.03,561.307,271.021,239.858,275.974,334.3,239.071,77.6391,396.149,165.155,82.8307,161.008,274.801,45.6923
4,0,184.437,-118.141,996.044,160.637,122.686,980.301,400.683,-49.8065,995.171,353.516,163.265,1000.38,217.28,-172.57,696.744,241.479,-158.654,576.424,267.822,-181.503,446.687,340.261,-164.504,81.1702,413.231,-92.4919,74.3171,170.78,-197.001,45.4565,,,,235.897,214.089,561.307,271.166,239.857,275.926,334.373,239.057,77.6447,396.765,165.641,82.437,161.073,274.757,45.7946
5,0,184.485,-118.084,996.132,160.734,122.765,980.413,400.648,-49.7873,995.125,353.649,163.325,1000.53,217.383,-172.497,696.804,241.436,-158.573,576.419,267.839,-181.477,446.774,340.232,-164.504,81.2959,413.266,-92.5476,74.3645,170.767,-197.02,45.5175,,,,236.959,214.489,560.395,271.296,239.848,275.951,334.427,239.042,77.7196,397.04,165.727,82.4063,161.04,274.759,45.8195
6,0,184.506,-117.981,996.138,160.85,122.827,980.369,400.602,-49.7576,995.107,353.759,163.402,1000.64,217.458,-172.41,696.829,241.436,-158.491,576.363,267.834,-181.425,446.776,340.193,-164.526,81.314,413.21,-92.5331,74.3844,170.724,-197.007,45.5466,,,,237.053,214.565,560.398,271.336,239.872,275.992,334.393,239.037,77.7697,396.838,165.602,82.5074,161.044,274.731,45.8184
7,0,184.587,-117.878,996.073,160.92,122.962,980.456,400.402,-49.8572,994.922,353.836,163.489,1000.75,217.55,-172.335,696.819,241.499,-158.458,576.355,267.845,-181.38,446.779,340.158,-164.541,81.3536,413.124,-92.4841,74.4071,170.694,-197.017,45.5676,,,,237.155,214.611,560.346,271.304,239.902,276.061,334.323,239.013,77.7871,396.404,165.325,82.7038,161.006,274.778,45.8085
8,0,184.72,-117.771,995.971,161.026,123.084,980.482,400.716,-49.6947,995.338,353.855,163.557,1000.74,217.605,-172.228,696.827,241.505,-158.336,576.334,267.808,-181.318,446.751,340.15,-164.535,81.3572,413.187,-92.5349,74.3825,170.673,-197.032,45.5841,,,,237.125,214.734,560.436,271.232,239.963,276.114,334.166,238.98,77.7662,396.16,165.094,82.9174,160.986,274.804,45.7732
9,0,184.789,-117.684,995.879,161.132,123.182,980.476,400.725,-49.6745,995.331,353.902,163.653,1000.8,217.689,-172.152,696.864,241.55,-158.315,576.419,267.775,-181.261,446.765,340.087,-164.588,81.365,413.108,-92.4752,74.4072,170.628,-197.022,45.6375,205.736,207.407,833.955,237.206,214.814,560.379,271.192,240.031,276.202,334.054,238.962,77.8291,396.085,165.081,82.9693,161.005,274.805,45.776
10,0,184.839,-117.584,995.844,161.266,123.275,980.471,405.389,-50.5114,1001.18,354.01,163.717,1000.89,217.688,-172.057,696.91,241.551,-158.232,576.466,267.741,-181.199,446.82,340.055,-164.568,81.4556,413.126,-92.4882,74.4531,170.588,-197.028,45.6575,205.866,207.478,833.95,237.282,214.906,560.381,271.214,240.054,276.255,334.021,238.974,77.8782,396.119,165.063,83.1245,160.982,274.833,45.8053
11,0,184.9,-117.482,995.803,161.331,123.351,980.53,400.788,-49.6203,995.345,354.116,163.789,1000.92,217.762,-171.981,696.917,241.512,-158.12,576.444,267.738,-181.157,446.863,340.06,-164.556,81.5228,413.12,-92.4914,74.5175,170.608,-197.026,45.6885,,,,236.421,214.801,561.541,271.302,240.088,276.267,334.077,238.967,77.9031,396.163,165.065,83.1192,160.973,274.829,45.8493
