Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,8.34555,,-15.5596,-7.59938,-33.2164,13.6974,,-17.802,-0.262719,12.3272,0.799905,6.43454,3.91833,-0.552511,-15.4318,-10.8692,173.513,84.1345,-170.937,-120.469,911.85,-24.2315
2,0,8.35138,,-15.5568,-7.59452,-33.2217,13.6824,,-17.7947,-0.247209,12.2713,0.819043,6.43945,3.91383,-0.528919,-15.4455,-10.8753,173.687,84.141,-171.11,-120.482,911.765,-24.291
3,0,8.23872,,-15.5848,-7.51181,-33.2418,13.6075,,-17.7618,-0.155293,12.2246,0.871838,6.50155,3.8877,-0.575761,-15.3963,-10.8913,172.617,84.2923,-170.066,-119.965,911.667,-24.8292
4,0,8.20111,,-15.5632,-7.50862,-33.2444,13.5973,,-17.7399,-0.124897,12.2066,0.887516,6.53469,3.89089,-0.583592,-15.3878,-10.8883,172.459,84.3113,-169.916,-119.914,911.688,-24.8512
5,0,8.26445,,-15.5114,-7.58809,-33.2287,13.726,,-17.7523,-0.206201,12.1134,0.877905,6.48481,3.88151,-0.566945,-15.4355,-10.9124,173.627,84.167,-171.047,-120.402,911.788,-24.6017
6,0,8.16009,,-15.5555,-7.51588,-33.2322,13.7409,,-17.7227,-0.150743,12.003,0.957517,6.54764,3.85584,-0.623018,-15.3919,-10.9345,172.83,84.2874,-170.269,-119.736,911.823,-25.0368
7,0,8.20283,,-15.5699,-7.52206,-33.2005,13.799,,-17.7237,-0.217599,12.0504,0.975768,6.55922,3.85506,-0.586104,-15.4349,-10.9187,173.74,84.1713,-171.172,-120.261,911.887,-24.7692
8,0,8.21885,,-15.571,-7.52232,-33.1812,13.7969,,-17.7015,-0.219886,12.0843,0.975505,6.56516,3.83498,-0.589581,-15.4451,-10.9415,173.769,84.1791,-171.188,-120.263,911.89,-24.8992
9,0,8.13741,,-15.6007,-7.4491,-33.1879,13.7555,,-17.6656,-0.140175,12.0076,1.02086,6.63287,3.81345,-0.637237,-15.3954,-10.9574,172.834,84.3247,-170.272,-119.665,911.886,-25.2863
10,0,8.19314,,-15.5522,-7.51475,-33.1589,13.7852,,-17.6548,-0.189131,12.1033,0.98014,6.60945,3.83074,-0.607696,-15.4319,-10.9449,173.581,84.2101,-171.008,-120.258,911.901,-25.0188
11,0,8.21655,,-15.5314,-7.5338,-33.1539,13.7972,,-17.642,-0.202162,12.0755,0.967956,6.58819,3.8242,-0.607791,-15.4447,-10.9582,173.728,84.1983,-171.144,-120.255,911.926,-25.0479
12,0,8.13489,,-15.5597,-7.43881,-33.1843,13.6498,,-17.6099,-0.130365,12.0957,0.976889,6.63315,3.80239,-0.639142,-15.4089,-10.9562,172.466,84.3398,-169.907,-119.815,911.923,-25.5106
13,0,8.20247,,-15.5173,-7.49654,-33.1782,13.6271,,-17.6043,-0.179934,12.1897,0.909843,6.56913,3.82299,-0.586386,-15.463,-10.9357,173.15,84.2112,-170.579,-120.452,911.979,-25.1917
