Trajectories
100
,,Welding_Ethan0728:LASI,,,Welding_Ethan0728:RASI,,,Welding_Ethan0728:LPSI,,,Welding_Ethan0728:RPSI,,,Welding_Ethan0728:LTHI,,,Welding_Ethan0728:LKNE,,,Welding_Ethan0728:LTIB,,,Welding_Ethan0728:LANK,,,Welding_Ethan0728:LHEE,,,Welding_Ethan0728:LTOE,,,Welding_Ethan0728:RTHI,,,Welding_Ethan0728:RKNE,,,Welding_Ethan0728:RTIB,,,Welding_Ethan0728:RANK,,,Welding_Ethan0728:RHEE,,,Welding_Ethan0728:RTOE,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
1,0,46.2837,-149.831,993.729,27.3045,91.7037,978.999,270.68,-93.8919,1001.37,224.124,124.568,986.185,88.0531,-211.586,692.73,121.152,-199.706,565.79,148.7,-220.907,446.285,226.668,-212.543,80.9672,308.286,-144.682,75.6129,59.2802,-230.619,42.516,81.6721,167.546,829.059,133.648,171.365,553.697,178.402,190.138,272.281,250.595,188.791,76.682,320.865,114.531,62.7094,78.2567,222.03,38.2407
2,0,46.346,-149.894,993.625,27.3526,91.6476,978.972,270.662,-94.0951,1001.09,224.197,124.483,986.169,88.0655,-211.635,692.643,121.17,-199.727,565.662,148.744,-220.965,446.204,226.743,-212.527,80.9516,308.306,-144.678,75.5521,59.3122,-230.641,42.4076,81.6831,167.519,829.109,133.702,171.345,553.72,178.479,190.131,272.245,250.589,188.744,76.6212,320.939,114.553,62.5648,78.2935,222.043,38.1493
3,0,46.3482,-149.952,993.524,27.3314,91.6087,978.927,,,,224.21,124.417,986.152,88.0705,-211.668,692.581,121.255,-199.738,565.604,148.783,-221.001,446.135,226.724,-212.471,80.9788,308.34,-144.767,75.4232,59.3198,-230.637,42.3066,82.7164,167.065,828.929,133.765,171.26,553.633,178.486,190.123,272.22,250.509,188.715,76.59,320.999,114.547,62.507,78.3016,222.048,38.0962
4,0,46.3203,-150.046,993.496,27.3003,91.5615,978.936,,,,224.215,124.36,986.164,88.0541,-211.695,692.598,121.195,-199.779,565.605,148.801,-221.018,446.144,226.733,-212.493,80.9623,308.368,-144.77,75.4544,59.3407,-230.651,42.2627,81.7265,167.446,829.048,133.838,171.213,553.577,178.517,190.102,272.242,250.529,188.725,76.5714,320.979,114.557,62.512,78.305,222.055,38.0813
5,0,46.2682,-150.131,993.549,27.2571,91.495,978.965,270.756,-94.2652,1001.45,224.145,124.293,986.298,88.0441,-211.751,692.637,121.205,-199.854,565.645,148.82,-221.068,446.224,226.774,-212.483,80.8976,308.254,-144.684,75.5829,59.2921,-230.642,42.3189,82.7406,166.916,828.9,131.491,170.274,556.331,178.569,190.078,272.235,250.535,188.714,76.5855,320.929,114.552,62.511,78.2994,222.054,38.0762
6,0,46.172,-150.178,993.631,27.2428,91.4292,978.96,,,,224.051,124.21,986.353,88.04,-211.784,692.734,121.215,-199.922,565.772,148.853,-221.111,446.286,227.362,-212.033,80.6286,308.251,-144.7,75.5865,59.2752,-230.636,42.386,81.7785,167.244,829.166,131.588,170.208,556.321,178.602,190.037,272.245,250.588,188.734,76.5809,320.915,114.545,62.6701,78.2824,222.059,38.0561
7,0,46.1098,-150.245,993.709,27.2917,91.3486,978.92,270.622,-94.385,1001.68,224.041,124.106,986.36,88.0341,-211.854,692.748,121.247,-199.989,565.807,148.91,-221.145,446.342,229.325,-210.223,79.9044,308.239,-144.72,75.6287,59.2447,-230.622,42.4469,81.9345,167.105,829.041,131.695,170.177,556.289,178.664,190.027,272.229,250.564,188.715,76.6037,320.929,114.551,62.7821,78.3086,222.093,38.0895
8,0,46.0675,-150.306,993.688,27.3428,91.303,978.921,270.569,-94.5152,1001.7,224.044,124.019,986.385,88.0587,-211.913,692.732,121.312,-200.067,565.807,148.928,-221.177,446.361,229.245,-210.294,79.9808,308.244,-144.733,75.6573,59.2602,-230.644,42.4534,82.9342,166.653,828.884,131.817,170.159,556.244,178.695,190.001,272.273,250.565,188.703,76.6028,320.907,114.523,62.8432,78.3131,222.099,38.0045
9,0,46.0288,-150.318,993.668,27.3255,91.2618,978.888,,,,224.044,123.948,986.386,88.1026,-211.94,692.686,121.321,-200.075,565.708,148.962,-221.164,446.319,229.013,-210.439,79.9905,308.271,-144.721,75.6614,59.2319,-230.62,42.4603,82.0593,166.939,829.162,131.859,170.121,556.2,178.718,189.969,272.27,250.513,188.677,76.5762,320.847,114.515,62.8692,78.3279,222.111,37.983
10,0,46.045,-150.37,993.601,27.3187,91.2165,978.904,270.683,-94.7519,1001.9,224.04,123.857,986.357,88.1207,-211.981,692.655,121.38,-200.113,565.72,148.979,-221.191,446.339,229.205,-210.34,80.0296,308.187,-144.734,75.6396,59.2602,-230.657,42.3951,82.8679,166.486,828.939,131.821,170.118,556.32,178.678,189.956,272.315,250.484,188.69,76.5875,320.91,114.501,62.917,78.3106,222.113,37.9272
11,0,46.06,-150.446,993.464,27.3499,91.1677,978.9,270.536,-94.906,1001.53,224.027,123.785,986.363,88.1101,-211.991,692.628,121.389,-200.141,565.666,148.98,-221.196,446.321,228.731,-210.784,80.0839,308.13,-144.701,75.6942,59.2129,-230.657,42.3889,82.795,166.423,829.034,131.703,170.116,556.437,178.607,189.96,272.423,250.281,188.606,76.6224,320.902,114.497,62.953,78.3103,222.127,37.9108
12,0,46.1106,-150.559,993.408,27.3351,91.1114,978.937,,,,224.094,123.7,986.427,88.1231,-212.107,692.567,121.438,-200.179,565.632,149.027,-221.271,446.306,228.678,-210.792,80.2117,308.168,-144.758,75.69,59.1889,-230.689,42.3813,82.8107,166.359,829.126,133.811,170.652,554.058,178.6,189.939,272.488,250.152,188.538,76.6982,320.791,114.46,62.9072,78.2989,222.111,37.9844
13,0,46.1346,-150.718,993.41,27.3694,91.0111,978.966,270.44,-94.9586,1001.43,224.175,123.576,986.514,88.1847,-212.178,692.578,121.464,-200.205,565.582,149.088,-221.329,446.328,228.49,-210.998,80.2258,308.156,-144.794,75.7309,59.2299,-230.711,42.4055,82.8729,166.237,829.18,133.947,170.704,554.189,178.673,189.903,272.625,250.214,188.501,76.7407,320.934,114.455,62.9082,78.3253,222.125,37.9973
14,0,46.1357,-150.761,993.478,27.3494,90.9609,979.064,,,,224.219,123.494,986.563,88.2361,-212.215,692.628,121.513,-200.258,565.68,149.152,-221.35,446.377,228.789,-210.773,80.1577,308.199,-144.775,75.7997,59.2855,-230.714,42.4532,82.9719,166.15,829.231,131.984,170.06,556.59,178.757,189.888,272.649,250.244,188.497,76.783,320.948,114.467,62.9844,78.3713,222.113,37.98
15,0,46.0341,-150.808,993.574,27.3505,90.9188,979.037,,,,224.117,123.423,986.608,88.195,-212.245,692.646,121.469,-200.336,565.741,149.126,-221.367,446.395,229.133,-210.414,80.0077,308.158,-144.776,75.7176,59.262,-230.669,42.471,83.0248,166.123,829.17,137.063,166.704,549.315,178.833,189.881,272.541,250.407,188.585,76.6624,320.949,114.473,63.0531,78.3337,222.126,38.0153
16,0,45.9019,-150.835,993.627,27.3122,90.8788,979.071,270.193,-95.1267,1001.65,224.023,123.393,986.608,88.11,-212.259,692.676,121.481,-200.382,565.848,149.087,-221.36,446.439,229.247,-210.244,80.1088,308.121,-144.713,75.7956,59.2171,-230.625,42.4764,83.0633,166.064,829.068,131.895,170.136,556.672,178.829,189.852,272.456,250.441,188.664,76.6366,320.92,114.464,63.251,78.321,222.142,37.9536
17,0,45.8145,-150.92,993.596,27.3478,90.7935,979.005,,,,224.005,123.313,986.598,88.0733,-212.312,692.662,121.454,-200.437,565.835,149.065,-221.383,446.438,229.301,-210.254,80.0891,308.086,-144.751,75.7375,59.1734,-230.625,42.5006,83.0675,166.036,829.074,135.824,168.342,551.345,178.789,189.854,272.44,250.472,188.688,76.614,320.883,114.471,63.2048,78.2572,222.179,37.9584
