Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,8.74301,,-16.5914,-26.7431,-42.947,11.222,,-19.9211,-12.3486,20.2048,-3.31729,17.6753,5.06221,3.93711,-8.60826,-5.14657,-179.14,77.5333,-179.76,-6.10185,901.877,-65.9258
2,0,8.72764,,-16.5973,-26.7615,-42.965,11.2157,,-19.9269,-12.3622,20.2011,-3.31425,17.6899,5.0549,3.9382,-8.60223,-5.14784,-179.234,77.5132,-179.664,-5.86214,901.84,-65.967
3,0,8.70536,,-16.596,-26.7677,-42.9829,11.2047,,-19.9304,-12.3671,20.1879,-3.31048,17.709,5.03459,3.93068,-8.59382,-5.16288,-179.366,77.5203,-179.522,-5.67678,901.763,-66.0883
4,0,8.58127,,-16.5383,-26.8057,-42.9251,11.1276,,-19.9538,-12.3989,20.1956,-3.3728,17.7329,4.97163,3.835,-8.59354,-5.18743,-180.122,77.4909,-178.735,-5.54117,901.737,-65.9936
5,0,8.48489,,-16.4983,-26.8327,-42.8707,11.0648,,-19.9603,-12.425,20.2383,-3.4287,17.7645,4.91965,3.74354,-8.59548,-5.2144,-180.695,77.494,-178.145,-5.60356,901.681,-66.1029
6,0,8.41899,,-16.4505,-26.8653,-42.8155,11.0141,,-19.9561,-12.4396,20.2902,-3.48745,17.793,4.866,3.65769,-8.59295,-5.2508,-181.2,77.4944,-177.614,-5.59113,901.686,-66.1636
7,0,8.51999,,-16.4725,-26.9053,-42.8457,11.0606,,-19.9562,-12.4716,20.3275,-3.48726,17.7951,4.91087,3.71742,-8.59877,-5.23058,-180.695,77.4586,-178.139,-5.92511,901.663,-66.2533
8,0,8.4354,,-16.4461,-26.8882,-42.7935,10.9253,,-19.8901,-12.35,20.3019,-3.61481,17.8273,4.92225,3.59682,-8.68129,-5.20702,-181.57,77.5174,-177.301,-5.8114,901.889,-66.0519
9,0,8.54403,,-16.4663,-26.9091,-42.821,10.9123,,-19.8404,-12.2715,20.2632,-3.68125,17.8285,5.02417,3.63802,-8.76425,-5.1431,-181.267,77.5062,-177.677,-6.18278,902,-66.0512
10,0,8.62302,,-16.4895,-26.9056,-42.8532,10.8713,,-19.8033,-12.1869,20.1815,-3.73553,17.8307,5.09184,3.65775,-8.86312,-5.10045,-181.248,77.5211,-177.741,-6.20553,902.078,-66.0035
11,0,8.52249,,-16.4707,-26.9017,-42.8054,10.7488,,-19.7906,-12.1189,20.1021,-3.8346,17.8469,5.05105,3.54413,-8.92619,-5.11696,-182.238,77.5316,-176.74,-5.66056,902.182,-65.9376
12,0,8.46527,,-16.4235,-26.9021,-42.7491,10.6528,,-19.7601,-12.0552,20.0782,-3.93598,17.8718,5.03637,3.44711,-8.98805,-5.12004,-182.885,77.5508,-176.105,-5.62197,902.233,-65.9646
13,0,8.41845,,-16.3868,-26.9158,-42.6907,10.5669,,-19.7336,-12.0024,20.0603,-4.03889,17.8933,5.02587,3.35712,-9.04931,-5.12441,-183.489,77.5524,-175.509,-5.54833,902.198,-65.9694
14,0,8.59056,,-16.4156,-26.9812,-42.7271,10.6211,,-19.7201,-12.0032,20.0404,-4.06843,17.8716,5.11405,3.45679,-9.13073,-5.07209,-182.734,77.4731,-176.3,-6.0903,902.113,-65.8527
15,0,8.69766,,-16.48,-26.9942,-42.7779,10.6383,,-19.7377,-11.987,19.928,-4.06608,17.8579,5.17257,3.53554,-9.18485,-5.03652,-182.427,77.447,-176.632,-5.90304,902.087,-65.8217
16,0,8.7729,,-16.5489,-27.0034,-42.8284,10.6527,,-19.7452,-11.9604,19.8295,-4.03953,17.8453,5.21952,3.60791,-9.23411,-5.0037,-182.151,77.4362,-176.927,-5.72612,902.092,-65.7623
17,0,8.62304,,-16.5558,-26.9638,-42.7867,10.5428,,-19.7423,-11.9004,19.7484,-4.07591,17.8729,5.15643,3.50391,-9.26942,-5.02928,-183.145,77.48,-175.917,-4.96484,902.059,-65.8098
18,0,8.52824,,-16.5133,-26.9746,-42.725,10.4601,,-19.7256,-11.8507,19.7165,-4.13647,17.8931,5.12044,3.41684,-9.30761,-5.04763,-183.751,77.4793,-175.305,-4.86927,902.133,-65.8341
19,0,8.45931,,-16.4639,-26.9938,-42.6616,10.3844,,-19.6889,-11.7963,19.7182,-4.21162,17.9064,5.08385,3.32905,-9.36903,-5.06798,-184.297,77.4656,-174.751,-4.80643,902.226,-65.8273
20,0,8.41155,,-16.4173,-27.0196,-42.5978,10.3189,,-19.6709,-11.7689,19.7198,-4.29816,17.9163,5.0724,3.25443,-9.42865,-5.07451,-184.782,77.4401,-174.272,-4.66428,902.327,-65.8355
21,0,8.6193,,-16.4041,-27.1445,-42.624,10.4141,,-19.6674,-11.8098,19.7396,-4.32727,17.8588,5.19853,3.39913,-9.51103,-4.99393,-183.696,77.2935,-175.406,-5.40979,902.463,-65.6
22,0,8.50631,,-16.4269,-27.0967,-42.5942,10.3286,,-19.6805,-11.7804,19.6682,-4.34834,17.8714,5.13886,3.30925,-9.54601,-5.02337,-184.58,77.3442,-174.502,-4.42182,902.456,-65.7454
23,0,8.70776,,-16.437,-27.2138,-42.6323,10.4379,,-19.6999,-11.8429,19.657,-4.34617,17.8083,5.23324,3.46524,-9.61538,-4.96661,-183.45,77.1637,-175.65,-5.2002,902.329,-65.4398
24,0,8.84813,,-16.5019,-27.2758,-42.6944,10.5238,,-19.7364,-11.8891,19.5812,-4.28948,17.751,5.2825,3.60603,-9.67055,-4.93339,-182.72,77.0648,-176.376,-5.06082,902.198,-65.2979
25,0,8.94056,,-16.582,-27.2913,-42.7606,10.5876,,-19.7742,-11.9154,19.4818,-4.20608,17.7146,5.3264,3.7298,-9.71053,-4.90202,-182.17,77.0174,-176.934,-4.71908,902.031,-65.2943
26,0,9.01244,,-16.644,-27.3116,-42.8181,10.6386,,-19.8078,-11.9281,19.3679,-4.12933,17.6791,5.36834,3.84977,-9.76114,-4.86799,-181.638,76.9712,-177.474,-4.4766,901.901,-65.2288
27,0,9.07186,,-16.6949,-27.3249,-42.8747,10.6848,,-19.834,-11.9276,19.2514,-4.04822,17.6445,5.39721,3.95873,-9.80648,-4.84856,-181.171,76.9262,-177.944,-4.22747,901.881,-65.2297
28,0,9.11241,,-16.7371,-27.3435,-42.9261,10.7252,,-19.8609,-11.9296,19.1415,-3.97214,17.6067,5.43242,4.06324,-9.85131,-4.82141,-180.734,76.8797,-178.394,-3.96288,901.865,-65.2312
29,0,9.14369,,-16.7765,-27.3532,-42.9789,10.7692,,-19.8717,-11.9256,19.0562,-3.88554,17.5708,5.44674,4.15728,-9.90153,-4.81099,-180.316,76.8361,-178.807,-3.67648,901.854,-65.2271
30,0,9.17597,,-16.8018,-27.3605,-43.0303,10.8028,,-19.9004,-11.927,18.9319,-3.80697,17.5335,5.45276,4.24643,-9.94917,-4.80899,-179.922,76.7939,-179.189,-3.39108,901.798,-65.2167
31,0,9.19699,,-16.8358,-27.3646,-43.0833,10.8314,,-19.9325,-11.931,18.8069,-3.72699,17.4948,5.46245,4.33131,-9.99443,-4.80107,-179.561,76.762,-179.547,-3.08178,901.819,-65.2442
32,0,9.21935,,-16.8507,-27.3695,-43.1297,10.8654,,-19.9453,-11.9254,18.7176,-3.65407,17.461,5.48822,4.41544,-10.0406,-4.7811,-179.205,76.7252,-179.909,-2.74816,901.879,-65.257
33,0,9.22609,,-16.8756,-27.37,-43.176,10.8975,,-19.9676,-11.935,18.6384,-3.57995,17.4284,5.50019,4.492,-10.0792,-4.77125,-178.908,76.6869,-180.209,-2.41675,901.91,-65.3251
34,0,9.2307,,-16.9003,-27.379,-43.2197,10.9312,,-19.9838,-11.9401,18.5703,-3.50901,17.3926,5.51297,4.57041,-10.1157,-4.75495,-178.589,76.6452,-180.533,-2.23756,901.941,-65.3402
35,0,9.20778,,-16.9366,-27.319,-43.2729,10.9321,,-19.9921,-11.9005,18.4504,-3.41972,17.3851,5.49692,4.61087,-10.1406,-4.7674,-178.475,76.6971,-180.644,-1.84291,901.963,-65.5407
36,0,9.23787,,-16.9389,-27.3607,-43.3032,10.9756,,-20.0154,-11.9206,18.3877,-3.35953,17.3504,5.52235,4.7084,-10.1823,-4.73842,-178.039,76.5994,-181.075,-1.89269,901.801,-65.3414
37,0,9.21994,,-17.0029,-27.328,-43.3548,10.9938,,-20.0307,-11.8946,18.2587,-3.25826,17.3416,5.50724,4.76454,-10.2051,-4.75292,-177.855,76.6232,-181.248,-1.45363,901.651,-65.4511
38,0,9.20691,,-17.032,-27.3137,-43.3903,11.0085,,-20.0365,-11.8701,18.1638,-3.17821,17.3337,5.50521,4.82359,-10.2396,-4.75291,-177.615,76.6157,-181.486,-1.28835,901.526,-65.5417
39,0,9.20407,,-17.0391,-27.3217,-43.418,11.0249,,-20.0445,-11.8494,18.069,-3.10818,17.3194,5.51376,4.88805,-10.2745,-4.74608,-177.362,76.6003,-181.739,-1.09016,901.525,-65.5694
40,0,9.21359,,-17.0544,-27.3441,-43.4565,11.0892,,-20.1092,-11.9191,18.0058,-2.99972,17.2963,5.4867,4.97763,-10.2586,-4.76674,-177,76.5414,-182.059,-0.634974,901.516,-65.6347
41,0,9.22373,,-17.0547,-27.3426,-43.4986,11.1518,,-20.1556,-11.9709,17.9582,-2.88816,17.2796,5.46191,5.06034,-10.2408,-4.7886,-176.6,76.5146,-182.428,-0.369183,901.548,-65.7678
42,0,9.20963,,-17.0829,-27.3417,-43.5466,11.2083,,-20.1908,-12.0151,17.9226,-2.77361,17.2556,5.42483,5.13052,-10.2287,-4.81703,-176.263,76.4873,-182.73,-0.0609337,901.508,-65.9203
43,0,9.19768,,-17.0854,-27.3526,-43.5839,11.2571,,-20.2341,-12.063,17.8766,-2.67411,17.2323,5.4012,5.20082,-10.2167,-4.83563,-175.978,76.4415,-182.988,0.300897,901.446,-66.0418
44,0,9.1701,,-17.1143,-27.3899,-43.6166,11.3073,,-20.2717,-12.1184,17.8574,-2.58006,17.2034,5.38783,5.27393,-10.2135,-4.83793,-175.729,76.3631,-183.217,0.680203,901.389,-66.0499
45,0,9.1446,,-17.1311,-27.4164,-43.6462,11.3514,,-20.3063,-12.17,17.8419,-2.48208,17.1837,5.37046,5.33795,-10.2104,-4.84733,-175.498,76.3129,-183.428,1.09378,901.403,-66.1392
46,0,9.12249,,-17.1444,-27.4497,-43.6739,11.3981,,-20.3342,-12.216,17.8274,-2.39327,17.1634,5.33989,5.40139,-10.2095,-4.86735,-175.286,76.2509,-183.609,1.44429,901.427,-66.2468
