Joints
100
,,Welding_Ethan0728:L_Femur_L_Tibia,Welding_Ethan0728:L_Foot_L_Toe,Welding_Ethan0728:L_Tibia_L_Foot,,,Welding_Ethan0728:R_Femur_R_Tibia,Welding_Ethan0728:R_Foot_R_Toe,Welding_Ethan0728:R_Tibia_R_Foot,,,Welding_Ethan0728:Root_L_Femur,,,Welding_Ethan0728:Root_R_Femur,,,Welding_Ethan0728:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,10.0546,,-14.6156,-12.481,-19.8708,11.7274,,-20.9801,-14.0992,25.9426,-10.4828,9.4704,4.32447,-5.25231,-10.8853,-8.81816,35.6085,-72.8934,39.0092,758.846,900.57,-361.901
2,0,10.0533,,-14.6202,-12.4756,-19.8553,11.6693,,-20.9683,-14.0969,25.9716,-10.5135,9.47306,4.31342,-5.25329,-10.8905,-8.81802,35.7053,-72.8773,39.1121,758.895,900.604,-361.893
3,0,10.0632,,-14.6076,-12.4923,-19.8324,11.62,,-20.9561,-14.1066,26.021,-10.5498,9.46909,4.31489,-5.24566,-10.9033,-8.80902,35.7398,-72.8412,39.1425,758.873,900.655,-361.897
4,0,10.0646,,-14.6094,-12.5133,-19.8081,11.5699,,-20.9565,-14.1238,26.0498,-10.589,9.45616,4.32311,-5.23566,-10.9164,-8.79219,35.7536,-72.7896,39.1413,758.793,900.676,-361.867
5,0,10.0688,,-14.6162,-12.5224,-19.7922,11.5395,,-20.941,-14.1326,26.0988,-10.6102,9.44514,4.31476,-5.23281,-10.9267,-8.7965,35.7664,-72.7606,39.1588,758.727,900.676,-361.822
6,0,10.0749,,-14.6299,-12.5176,-19.7865,11.4933,,-20.9725,-14.1813,26.0478,-10.6279,9.43299,4.26393,-5.24076,-10.9635,-8.83366,35.7697,-72.7198,39.2071,758.601,900.633,-361.777
7,0,10.087,,-14.621,-12.5447,-19.7686,11.5185,,-20.9768,-14.1884,26.0417,-10.6407,9.4126,4.26567,-5.23285,-10.9522,-8.83754,35.687,-72.6778,39.1181,758.381,900.745,-361.71
8,0,10.1048,,-14.6174,-12.5443,-19.7596,11.5314,,-20.9925,-14.223,26.0337,-10.6274,9.41095,4.23937,-5.23804,-10.9651,-8.85663,35.6615,-72.6867,39.1186,758.231,900.683,-361.685
9,0,10.123,,-14.6064,-12.543,-19.748,11.5135,,-20.9491,-14.188,26.1095,-10.6448,9.40918,4.24573,-5.226,-10.9541,-8.8484,35.719,-72.689,39.1662,758.193,900.648,-361.641
10,0,10.1461,,-14.6164,-12.5223,-19.7469,11.5107,,-20.9203,-14.1699,26.1664,-10.6423,9.40878,4.24223,-5.21872,-10.9385,-8.85373,35.7543,-72.7069,39.2074,758.135,900.608,-361.643
11,0,10.1634,,-14.6282,-12.5187,-19.7404,11.5367,,-20.937,-14.1876,26.1521,-10.6357,9.39746,4.24791,-5.21144,-10.9169,-8.85517,35.7175,-72.7049,39.1648,757.969,900.551,-361.579
12,0,10.1833,,-14.6469,-12.5068,-19.7382,11.5605,,-20.9452,-14.201,26.15,-10.6353,9.38529,4.24872,-5.20598,-10.9024,-8.85622,35.6967,-72.7039,39.1415,757.857,900.605,-361.502
13,0,10.2091,,-14.6652,-12.4894,-19.7459,11.5258,,-20.978,-14.2204,26.0549,-10.653,9.36348,4.18705,-5.21424,-10.9165,-8.90984,35.7342,-72.6853,39.2336,757.765,900.589,-361.4
14,0,10.2366,,-14.6802,-12.4882,-19.7418,11.5052,,-20.9987,-14.2385,26.0123,-10.6755,9.34097,4.18486,-5.2034,-10.9258,-8.9052,35.7267,-72.659,39.2205,757.594,900.633,-361.276
15,0,10.2692,,-14.6948,-12.4812,-19.7368,11.5036,,-20.989,-14.228,26.0355,-10.6928,9.32729,4.22327,-5.1789,-10.9142,-8.87071,35.7251,-72.6588,39.182,757.417,900.751,-361.227
16,0,10.3034,,-14.7183,-12.4563,-19.7419,11.5077,,-20.9803,-14.2145,26.0376,-10.6927,9.31873,4.22121,-5.16608,-10.9037,-8.87819,35.7359,-72.6714,39.1971,757.271,900.684,-361.177
17,0,10.3285,,-14.7311,-12.4341,-19.7443,11.5088,,-20.9864,-14.2101,26.0156,-10.6853,9.31437,4.22329,-5.1548,-10.8896,-8.87686,35.7659,-72.6881,39.2234,757.102,900.585,-361.102
18,0,10.3449,,-14.7498,-12.402,-19.7521,11.5011,,-20.9951,-14.2178,25.9839,-10.6668,9.31277,4.19398,-5.15743,-10.8919,-8.90327,35.8334,-72.714,39.3205,756.927,900.455,-361.045
19,0,10.3413,,-14.766,-12.3881,-19.7447,11.4941,,-20.9684,-14.1958,26.0391,-10.6639,9.30935,4.22538,-5.14045,-10.8782,-8.87308,35.9015,-72.7199,39.3525,756.717,900.495,-360.945
20,0,10.3339,,-14.7756,-12.3698,-19.7398,11.4904,,-20.951,-14.1831,26.0696,-10.6508,9.31099,4.2247,-5.13414,-10.8715,-8.87728,35.9683,-72.7234,39.4191,756.469,900.513,-360.883
21,0,10.3274,,-14.7966,-12.3417,-19.7363,11.4573,,-20.9888,-14.1907,25.9747,-10.628,9.32294,4.19036,-5.13589,-10.8653,-8.90603,36.0642,-72.7555,39.5429,756.319,900.475,-360.778
22,0,10.3129,,-14.7986,-12.3426,-19.7214,11.4861,,-21.002,-14.1843,25.9396,-10.6094,9.32487,4.1922,-5.12837,-10.8367,-8.91157,36.0668,-72.7468,39.5411,756.02,900.502,-360.698
23,0,10.2946,,-14.8123,-12.3284,-19.7091,11.4713,,-21.0037,-14.1696,25.928,-10.5971,9.33443,4.20111,-5.11847,-10.8198,-8.89687,36.1417,-72.7581,39.6032,755.913,900.505,-360.651
24,0,10.2758,,-14.8194,-12.3188,-19.6986,11.4521,,-21.0233,-14.1821,25.8844,-10.5787,9.34148,4.1768,-5.12232,-10.8264,-8.91763,36.2071,-72.7603,39.6919,755.748,900.461,-360.6
25,0,10.2499,,-14.8238,-12.3097,-19.6866,11.4449,,-21.0254,-14.1908,25.8801,-10.5586,9.35136,4.16115,-5.12529,-10.835,-8.93125,36.2693,-72.7586,39.7649,755.517,900.424,-360.556
26,0,10.2279,,-14.8244,-12.3011,-19.6689,11.4581,,-20.9892,-14.163,25.9673,-10.5334,9.36963,4.20274,-5.10816,-10.8136,-8.88985,36.3173,-72.7843,39.7725,755.306,900.557,-360.553
27,0,10.2048,,-14.8213,-12.2901,-19.6552,11.4459,,-20.9938,-14.1467,25.949,-10.5128,9.38635,4.20182,-5.10369,-10.7895,-8.89346,36.4003,-72.8019,39.8566,755.156,900.507,-360.548
28,0,10.1873,,-14.8211,-12.2721,-19.6531,11.4378,,-21.0072,-14.1552,25.9104,-10.4823,9.39457,4.1524,-5.11237,-10.7902,-8.93937,36.4535,-72.8129,39.957,754.973,900.445,-360.496
29,0,10.1599,,-14.8274,-12.2649,-19.6447,11.4258,,-21.0273,-14.1621,25.8664,-10.4628,9.39447,4.13965,-5.10813,-10.7803,-8.94662,36.4986,-72.811,40.0085,754.815,900.391,-360.41
30,0,10.1342,,-14.8438,-12.2474,-19.6394,11.4326,,-21.0134,-14.139,25.8768,-10.4457,9.39766,4.1421,-5.09844,-10.7545,-8.94751,36.5381,-72.8112,40.0412,754.655,900.359,-360.343
31,0,10.1194,,-14.8479,-12.2385,-19.6315,11.4383,,-21.0217,-14.1567,25.8741,-10.4132,9.40331,4.12994,-5.09398,-10.7519,-8.95339,36.5569,-72.8281,40.0709,754.467,900.359,-360.315
32,0,10.1109,,-14.8348,-12.2324,-19.624,11.4249,,-21.0352,-14.1596,25.838,-10.3942,9.4098,4.11243,-5.08767,-10.7453,-8.96983,36.602,-72.8354,40.1306,754.267,900.436,-360.254
33,0,10.0966,,-14.8421,-12.2387,-19.612,11.4757,,-21.0278,-14.1544,25.8592,-10.3659,9.40572,4.11997,-5.07566,-10.7205,-8.97032,36.5305,-72.8201,40.0482,753.965,900.415,-360.162
34,0,10.086,,-14.842,-12.2442,-19.6003,11.5202,,-21.0259,-14.1592,25.8795,-10.3319,9.40366,4.12441,-5.06521,-10.7007,-8.96565,36.4833,-72.8297,39.9957,753.8,900.399,-360.114
35,0,10.0756,,-14.8458,-12.2405,-19.5898,11.5184,,-21.0319,-14.1596,25.8768,-10.3197,9.40526,4.13579,-5.05036,-10.6896,-8.94997,36.503,-72.8319,40.0011,753.674,900.423,-360.039
36,0,10.0686,,-14.8594,-12.2363,-19.5795,11.5535,,-21.0417,-14.1654,25.8651,-10.2888,9.40911,4.13115,-5.04531,-10.6731,-8.95997,36.4733,-72.8414,39.974,753.518,900.389,-359.952
37,0,10.0614,,-14.8662,-12.2277,-19.5775,11.5623,,-21.0829,-14.1909,25.7607,-10.2648,9.40779,4.06479,-5.06019,-10.6811,-9.02424,36.4723,-72.8324,40.0333,753.331,900.339,-359.84
38,0,10.0538,,-14.8676,-12.2218,-19.5659,11.5643,,-21.0548,-14.1717,25.8182,-10.2563,9.41366,4.08692,-5.04675,-10.6739,-9.00107,36.5223,-72.844,40.0577,753.17,900.464,-359.757
39,0,10.0578,,-14.872,-12.2175,-19.5551,11.5608,,-21.0445,-14.1582,25.8296,-10.2514,9.419,4.09064,-5.03872,-10.6648,-8.99819,36.5535,-72.8498,40.0827,752.961,900.491,-359.723
40,0,10.0657,,-14.8691,-12.2169,-19.5417,11.5542,,-21.0402,-14.1471,25.8395,-10.2478,9.4254,4.10935,-5.02778,-10.6501,-8.98317,36.5918,-72.8692,40.106,752.808,900.524,-359.691
41,0,10.0734,,-14.8841,-12.2049,-19.5374,11.5868,,-21.0389,-14.1423,25.8388,-10.2287,9.42887,4.10367,-5.02798,-10.6326,-8.99644,36.5953,-72.8803,40.1142,752.612,900.456,-359.601
42,0,10.0807,,-14.8854,-12.1812,-19.54,11.5641,,-21.0561,-14.1507,25.7844,-10.2235,9.43544,4.06285,-5.03654,-10.6379,-9.03093,36.6883,-72.8912,40.243,752.536,900.301,-359.494
43,0,10.0749,,-14.9028,-12.1613,-19.5399,11.5584,,-21.0436,-14.1234,25.7775,-10.2175,9.43495,4.05153,-5.0371,-10.6182,-9.04499,36.7624,-72.8925,40.3168,752.426,900.241,-359.355
44,0,10.0725,,-14.9178,-12.151,-19.5341,11.5893,,-21.0363,-14.1206,25.7988,-10.1974,9.43772,4.06038,-5.03703,-10.6034,-9.04404,36.7904,-72.9037,40.3354,752.183,900.236,-359.27
45,0,10.0762,,-14.9306,-12.1245,-19.5367,11.594,,-21.0716,-14.1315,25.7068,-10.1751,9.44891,4.02274,-5.05081,-10.5942,-9.08171,36.869,-72.9319,40.4471,752.023,900.208,-359.154
46,0,10.072,,-14.9516,-12.1061,-19.5264,11.5777,,-21.0571,-14.1071,25.7396,-10.1836,9.46241,4.06793,-5.03498,-10.5729,-9.03329,36.9795,-72.9468,40.5093,751.864,900.35,-359.103
47,0,10.0767,,-14.9529,-12.098,-19.5175,11.5571,,-21.0502,-14.0881,25.7321,-10.1903,9.47451,4.05688,-5.03793,-10.5645,-9.04849,37.0785,-72.9461,40.6141,751.688,900.366,-358.995
48,0,10.0659,,-14.9737,-12.1027,-19.5017,11.5682,,-21.0684,-14.089,25.6913,-10.1817,9.47982,4.05862,-5.04044,-10.5491,-9.05329,37.1046,-72.9405,40.635,751.511,900.371,-358.869
49,0,10.0577,,-14.9787,-12.1029,-19.4859,11.542,,-21.0687,-14.0738,25.6744,-10.1871,9.49295,4.05759,-5.03968,-10.5431,-9.05094,37.2072,-72.9428,40.7338,751.402,900.392,-358.796
50,0,10.0569,,-14.9855,-12.0979,-19.473,11.5568,,-21.0709,-14.0688,25.6597,-10.1703,9.51302,4.04216,-5.04742,-10.5329,-9.07338,37.2589,-72.9539,40.797,751.204,900.325,-358.682
51,0,10.0577,,-14.971,-12.0887,-19.4619,11.5419,,-21.0428,-14.0471,25.7046,-10.1653,9.53778,4.03293,-5.04838,-10.5321,-9.07835,37.3586,-72.9673,40.9016,751.075,900.282,-358.614
52,0,10.0535,,-14.9751,-12.0865,-19.4466,11.5384,,-21.0182,-14.0349,25.7546,-10.1605,9.55749,4.03271,-5.05028,-10.5297,-9.08283,37.4183,-72.9749,40.9589,750.927,900.228,-358.536
