Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-8.99251,,-10.7495,-6.9078,-48.6437,5.80019,,-26.6814,21.6637,60.0103,-2.38248,1.71714,7.92369,-9.03544,-32.3815,-9.44187,117.1,77.5825,-117.436,-1.75985,874.214,-64.86
2,0,-9.00939,,-10.7543,-6.90253,-48.6467,5.79231,,-26.6847,21.6752,60.0171,-2.35569,1.72795,7.92546,-9.01477,-32.3956,-9.43892,117.114,77.5975,-117.451,-1.67676,874.203,-64.8643
3,0,-9.01927,,-10.7557,-6.9047,-48.6478,5.80215,,-26.6809,21.6903,60.0264,-2.32583,1.73714,7.92391,-8.99482,-32.4042,-9.44145,117.149,77.6174,-117.485,-1.59073,874.193,-64.8847
4,0,-9.02092,,-10.7573,-6.90265,-48.6474,5.79137,,-26.682,21.7061,60.0367,-2.30674,1.74838,7.93029,-8.96975,-32.4164,-9.43167,117.142,77.6332,-117.485,-1.53287,874.233,-64.9064
5,0,-9.03559,,-10.7579,-6.90424,-48.6477,5.76592,,-26.6913,21.7208,60.0447,-2.2767,1.75258,7.93998,-8.93315,-32.4298,-9.41544,117.151,77.6494,-117.503,-1.48334,874.256,-64.9158
6,0,-9.05087,,-10.7618,-6.90522,-48.649,5.75882,,-26.6965,21.7364,60.0536,-2.24277,1.75831,7.9413,-8.90755,-32.4381,-9.41477,117.173,77.6672,-117.527,-1.43679,874.227,-64.9635
7,0,-9.06578,,-10.7662,-6.90351,-48.6515,5.73183,,-26.7046,21.7489,60.0612,-2.20645,1.7601,7.94915,-8.86288,-32.4525,-9.40022,117.188,77.691,-117.548,-1.39197,874.152,-64.9533
8,0,-9.07917,,-10.7706,-6.9054,-48.6565,5.71156,,-26.7119,21.7597,60.0663,-2.16945,1.7677,7.93407,-8.83556,-32.4604,-9.41398,117.219,77.7139,-117.564,-1.33619,874.021,-64.9943
9,0,-9.09242,,-10.7757,-6.90448,-48.6597,5.71206,,-26.7189,21.772,60.0734,-2.12469,1.76666,7.94157,-8.79744,-32.4714,-9.40897,117.28,77.7433,-117.63,-1.25429,873.947,-65.0323
