Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-9.54234,,-11.6934,-2.1372,-49.1158,8.52802,,-29.5431,24.4972,62.3095,-5.1387,-2.71128,5.91544,-14.827,-37.8319,-9.95338,119.39,72.9581,-119.318,-53.4709,874.526,-134.288
2,0,-9.55659,,-11.6868,-2.14856,-49.1148,8.52959,,-29.5404,24.5187,62.323,-5.11947,-2.70192,5.89015,-14.8423,-37.8412,-9.98912,119.382,72.9654,-119.287,-53.4087,874.542,-134.326
3,0,-9.58246,,-11.6862,-2.15386,-49.1172,8.5104,,-29.5716,24.5065,62.3092,-5.01431,-2.71334,5.87489,-14.7557,-37.8489,-10.0089,119.541,73.0122,-119.426,-53.0074,874.488,-134.389
4,0,-9.59736,,-11.6844,-2.16289,-49.1184,8.54436,,-29.5737,24.5055,62.3027,-4.91958,-2.72247,5.85532,-14.6945,-37.8458,-10.044,119.73,73.0723,-119.589,-52.8105,874.397,-134.397
5,0,-9.61513,,-11.6874,-2.15539,-49.1177,8.55315,,-29.5878,24.5048,62.2981,-4.82691,-2.74067,5.88212,-14.6006,-37.8589,-10.0188,119.862,73.1323,-119.734,-52.6442,874.34,-134.368
6,0,-9.64823,,-11.7021,-2.12754,-49.1187,8.57196,,-29.6161,24.5065,62.2935,-4.73058,-2.7601,5.92435,-14.506,-37.8728,-9.9777,119.974,73.1867,-119.88,-52.4529,874.287,-134.401
7,0,-9.67192,,-11.7045,-2.11869,-49.1156,8.55349,,-29.6342,24.5084,62.2906,-4.65843,-2.76825,5.94353,-14.4241,-37.884,-9.9488,120.045,73.2293,-119.964,-52.2886,874.309,-134.409
8,0,-9.71629,,-11.7069,-2.1132,-49.1139,8.54105,,-29.6426,24.4979,62.2834,-4.52798,-2.7799,5.93492,-14.3166,-37.8778,-9.95644,120.2,73.2937,-120.109,-51.9202,874.298,-134.572
9,0,-9.71528,,-11.6991,-2.1239,-49.1127,8.54114,,-29.6504,24.4868,62.2723,-4.41259,-2.78949,5.91216,-14.2203,-37.867,-9.98646,120.394,73.3775,-120.268,-51.7188,874.335,-134.555
10,0,-9.73866,,-11.6993,-2.12546,-49.1153,8.5441,,-29.6533,24.4759,62.2609,-4.31483,-2.79384,5.88062,-14.1565,-37.8576,-10.0272,120.555,73.4398,-120.392,-51.5723,874.354,-134.608
11,0,-9.74859,,-11.701,-2.11625,-49.1124,8.54235,,-29.6673,24.468,62.2542,-4.22951,-2.80756,5.90281,-14.0627,-37.8632,-10.0058,120.677,73.4994,-120.529,-51.3991,874.279,-134.627
12,0,-9.76468,,-11.6943,-2.11615,-49.1035,8.54663,,-29.6793,24.4646,62.2513,-4.14749,-2.82449,5.9402,-13.9637,-37.8694,-9.96664,120.801,73.5488,-120.677,-51.1948,874.204,-134.605
13,0,-9.80051,,-11.7067,-2.09039,-49.1012,8.55589,,-29.6813,24.4637,62.2507,-4.07298,-2.82722,5.95356,-13.9057,-37.8697,-9.95319,120.863,73.5861,-120.749,-50.9851,874.282,-134.635
14,0,-9.80251,,-11.6952,-2.10188,-49.0888,8.55988,,-29.6791,24.4652,62.2507,-4.03208,-2.81455,5.93923,-13.8765,-37.8623,-9.96888,120.903,73.6169,-120.776,-50.8615,874.302,-134.711
15,0,-9.81044,,-11.6877,-2.10994,-49.0788,8.54243,,-29.6878,24.4662,62.2491,-3.99032,-2.80692,5.92994,-13.8405,-37.8577,-9.97591,120.93,73.6453,-120.79,-50.7863,874.284,-134.713
16,0,-9.81101,,-11.6891,-2.10418,-49.074,8.52991,,-29.7007,24.4675,62.2464,-3.93057,-2.80604,5.93097,-13.7787,-37.8541,-9.96792,121.008,73.689,-120.859,-50.7521,874.246,-134.648
17,0,-9.82406,,-11.6939,-2.10298,-49.0742,8.51766,,-29.7113,24.4671,62.2413,-3.88468,-2.80574,5.91529,-13.7493,-37.8493,-9.98355,121.033,73.7135,-120.875,-50.6323,874.173,-134.816
18,0,-9.86788,,-11.7191,-2.07196,-49.0811,8.50538,,-29.7281,24.466,62.237,-3.81663,-2.82314,5.93568,-13.6881,-37.8543,-9.95975,121.076,73.745,-120.931,-50.4898,874.063,-134.813
19,0,-9.84791,,-11.7068,-2.0828,-49.0713,8.5275,,-29.7254,24.462,62.2337,-3.78939,-2.82375,5.94902,-13.6429,-37.8613,-9.9479,121.176,73.7667,-121.039,-50.3011,874.052,-134.765
20,0,-9.83351,,-11.6991,-2.08845,-49.0612,8.55421,,-29.7115,24.4622,62.2335,-3.75693,-2.81276,5.94524,-13.6146,-37.856,-9.95867,121.228,73.8013,-121.08,-50.1148,874.128,-134.688
21,0,-9.85699,,-11.6958,-2.09035,-49.0561,8.54155,,-29.6992,24.461,62.2314,-3.73612,-2.80074,5.92244,-13.6114,-37.8524,-9.98161,121.25,73.801,-121.085,-49.9695,874.221,-134.778
22,0,-9.85657,,-11.6999,-2.09058,-49.0553,8.51171,,-29.7009,24.4625,62.2282,-3.71324,-2.79705,5.90248,-13.5884,-37.8466,-9.99505,121.249,73.8219,-121.064,-49.8959,874.245,-134.835
23,0,-9.8444,,-11.7077,-2.08643,-49.0568,8.4929,,-29.7112,24.4621,62.2236,-3.68315,-2.80271,5.90038,-13.5508,-37.8457,-9.99565,121.288,73.8465,-121.101,-49.8688,874.26,-134.877
24,0,-9.79857,,-11.7179,-2.08011,-49.0608,8.48162,,-29.7127,24.4859,62.238,-3.75775,-2.79435,5.90525,-13.5968,-37.8646,-9.98372,121.184,73.8274,-120.997,-50.2401,874.218,-134.695
25,0,-9.83797,,-11.7231,-2.07614,-49.059,8.47488,,-29.7349,24.4791,62.2311,-3.69885,-2.81467,5.93332,-13.5349,-37.8747,-9.95391,121.245,73.8254,-121.089,-49.8109,874.159,-134.857
26,0,-9.85865,,-11.7275,-2.06677,-49.0556,8.48272,,-29.75,24.4725,62.226,-3.64115,-2.83239,5.96964,-13.4651,-37.8855,-9.91661,121.344,73.8529,-121.214,-49.6436,874.166,-134.794
27,0,-9.86772,,-11.7278,-2.0659,-49.0497,8.50169,,-29.7482,24.4713,62.2243,-3.60439,-2.83504,5.97854,-13.4338,-37.8865,-9.91016,121.418,73.8728,-121.295,-49.5629,874.11,-134.806
28,0,-9.87509,,-11.7342,-2.05741,-49.0476,8.48412,,-29.7527,24.4712,62.2224,-3.57637,-2.83106,5.97181,-13.4103,-37.8848,-9.91227,121.406,73.8913,-121.275,-49.4581,874.068,-134.827
29,0,-9.87248,,-11.7402,-2.05447,-49.0495,8.48425,,-29.7473,24.4736,62.2201,-3.54682,-2.82312,5.94109,-13.4034,-37.8727,-9.94832,121.407,73.9176,-121.245,-49.3008,874.073,-134.864
30,0,-9.83509,,-11.753,-2.05061,-49.0583,8.48938,,-29.7264,24.5037,62.237,-3.6161,-2.80613,5.90711,-13.4857,-37.8717,-9.98941,121.306,73.9036,-121.106,-49.6525,874.138,-134.68
31,0,-9.84503,,-11.7601,-2.04973,-49.0608,8.47213,,-29.7379,24.5006,62.2305,-3.57373,-2.81384,5.89931,-13.442,-37.8703,-9.99197,121.353,73.908,-121.157,-49.2791,874.132,-134.901
32,0,-9.85116,,-11.762,-2.04651,-49.0561,8.47684,,-29.7416,24.4973,62.2286,-3.53076,-2.83027,5.93626,-13.373,-37.881,-9.95196,121.441,73.9347,-121.274,-49.1533,874.166,-134.868
33,0,-9.83483,,-11.7483,-2.05945,-49.0444,8.47698,,-29.7401,24.4927,62.2267,-3.51302,-2.83283,5.9598,-13.3208,-37.8915,-9.92125,121.543,73.9466,-121.396,-49.0877,874.143,-134.82
34,0,-9.87451,,-11.7504,-2.05766,-49.0407,8.44263,,-29.7527,24.4864,62.2213,-3.48358,-2.83388,5.96156,-13.2977,-37.8983,-9.91218,121.547,73.9518,-121.4,-49.0916,874.093,-134.858
35,0,-9.88895,,-11.7573,-2.05524,-49.0435,8.42832,,-29.7625,24.48,62.2129,-3.45415,-2.83263,5.94055,-13.2865,-37.8966,-9.93367,121.576,73.967,-121.406,-49.0693,874.055,-134.885
36,0,-9.89627,,-11.7666,-2.0511,-49.0468,8.42814,,-29.771,24.4779,62.2066,-3.42588,-2.83533,5.92758,-13.2717,-37.8938,-9.94713,121.628,73.9815,-121.445,-49.063,874.047,-134.915
37,0,-9.82574,,-11.7666,-2.05958,-49.0478,8.43814,,-29.7604,24.5039,62.2224,-3.51942,-2.81578,5.91374,-13.3473,-37.9034,-9.96318,121.511,73.9617,-121.311,-49.3971,874.114,-134.727
38,0,-9.83914,,-11.7607,-2.07332,-49.0445,8.45648,,-29.7553,24.5023,62.2188,-3.48652,-2.81954,5.90799,-13.3305,-37.9004,-9.9798,121.564,73.9561,-121.367,-48.9655,874.106,-134.9
39,0,-9.86856,,-11.7606,-2.07541,-49.0373,8.46387,,-29.7544,24.505,62.2208,-3.46148,-2.82247,5.92273,-13.3076,-37.9024,-9.96568,121.591,73.964,-121.41,-48.8983,874.1,-134.93
40,0,-9.86809,,-11.7596,-2.07468,-49.033,8.46009,,-29.7504,24.5028,62.2189,-3.4432,-2.82132,5.92594,-13.2793,-37.9062,-9.95873,121.65,73.9761,-121.468,-48.844,874.047,-134.874
