Joints
100
,,Welding_hxy0727:L_Femur_L_Tibia,Welding_hxy0727:L_Foot_L_Toe,Welding_hxy0727:L_Tibia_L_Foot,,,Welding_hxy0727:R_Femur_R_Tibia,Welding_hxy0727:R_Foot_R_Toe,Welding_hxy0727:R_Tibia_R_Foot,,,Welding_hxy0727:Root_L_Femur,,,Welding_hxy0727:Root_R_Femur,,,Welding_hxy0727:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,-10.3025,,-10.3581,0.474202,-47.9392,8.09245,,-26.5667,22.4404,59.2437,-8.03605,9.23502,6.93288,-18.5299,-33.6051,-9.45704,108.304,71.9894,-109.565,-746.572,881.118,-400.168
2,0,-10.2932,,-10.3372,0.443096,-47.9325,8.07262,,-26.5692,22.4757,59.2578,-8.02496,9.25834,6.9086,-18.519,-33.5988,-9.49405,108.365,71.9982,-109.606,-746.555,881.229,-400.203
3,0,-10.2911,,-10.3241,0.417306,-47.9248,8.1585,,-26.558,22.5008,59.2672,-8.0283,9.323,6.81578,-18.6649,-33.5779,-9.61642,108.238,72.0105,-109.422,-746.916,881.3,-400.661
4,0,-10.2528,,-10.336,0.426097,-47.9251,8.19887,,-26.5627,22.5101,59.2709,-7.98609,9.30175,6.8725,-18.5796,-33.6079,-9.57699,108.415,72.1072,-109.624,-747.291,881.283,-400.294
5,0,-10.251,,-10.3497,0.438258,-47.9254,8.21587,,-26.5631,22.5227,59.278,-7.94725,9.28893,6.91587,-18.5109,-33.6369,-9.53507,108.464,72.1498,-109.711,-747.193,881.267,-400.276
6,0,-10.2667,,-10.3484,0.420717,-47.9276,8.1585,,-26.5696,22.5451,59.2853,-7.89767,9.28736,6.89585,-18.4404,-33.6464,-9.55051,108.583,72.1719,-109.808,-747.055,881.221,-400.267
7,0,-10.2475,,-10.3338,0.38857,-47.9303,8.11704,,-26.5757,22.5554,59.2849,-7.843,9.29296,6.85655,-18.3861,-33.6612,-9.58844,108.696,72.213,-109.88,-746.956,881.16,-400.321
8,0,-10.2242,,-10.3179,0.358499,-47.9225,8.13426,,-26.5854,22.5684,59.2887,-7.85936,9.33715,6.81366,-18.4527,-33.6709,-9.64408,108.617,72.2144,-109.779,-747.17,881.147,-400.628
9,0,-10.2477,,-10.309,0.33658,-47.9134,8.12017,,-26.6174,22.5943,59.2974,-7.87742,9.36558,6.80808,-18.4747,-33.6836,-9.6521,108.598,72.1878,-109.761,-747.235,881.076,-400.644
10,0,-10.2728,,-10.3099,0.327227,-47.9054,8.13843,,-26.6394,22.6192,59.3086,-7.87336,9.38237,6.82008,-18.4949,-33.7006,-9.64779,108.534,72.1828,-109.709,-747.207,881.05,-400.636
11,0,-10.3006,,-10.3262,0.34184,-47.9052,8.17559,,-26.6409,22.6358,59.3199,-7.82023,9.35137,6.89948,-18.4088,-33.7402,-9.57429,108.64,72.2216,-109.872,-746.999,881.025,-400.353
12,0,-10.3204,,-10.3494,0.361408,-47.9017,8.23184,,-26.6346,22.667,59.3383,-7.81404,9.37116,6.90371,-18.4438,-33.7465,-9.58731,108.574,72.228,-109.823,-746.987,880.995,-400.539
13,0,-10.2531,,-10.3123,0.298442,-47.8982,8.16614,,-26.6315,22.6669,59.3324,-7.77834,9.3942,6.82897,-18.3986,-33.7605,-9.65208,108.709,72.2638,-109.869,-746.733,881.153,-400.381
14,0,-10.2658,,-10.2974,0.2625,-47.8919,8.19516,,-26.635,22.6829,59.3366,-7.76929,9.42493,6.78129,-18.451,-33.7646,-9.7209,108.713,72.2665,-109.844,-746.838,881.251,-400.618
15,0,-10.2671,,-10.2954,0.248227,-47.8848,8.22293,,-26.6424,22.7092,59.3491,-7.77213,9.44301,6.78579,-18.4663,-33.7774,-9.7235,108.686,72.2636,-109.824,-746.778,881.295,-400.604
16,0,-10.2828,,-10.3025,0.24969,-47.8783,8.23751,,-26.6512,22.728,59.3585,-7.77452,9.46,6.80273,-18.4847,-33.7989,-9.70734,108.612,72.2636,-109.764,-746.815,881.287,-400.566
17,0,-10.176,,-10.2147,0.111947,-47.8614,8.18005,,-26.6385,22.7247,59.3488,-7.79206,9.53718,6.63289,-18.5492,-33.7888,-9.88105,108.728,72.2411,-109.716,-746.598,881.461,-400.639
18,0,-10.2661,,-10.2459,0.154699,-47.8581,8.2226,,-26.6642,22.7373,59.3587,-7.80045,9.52493,6.74915,-18.5311,-33.8406,-9.76229,108.667,72.2344,-109.771,-746.868,881.157,-400.576
19,0,-10.2771,,-10.2417,0.133464,-47.8534,8.19804,,-26.6748,22.7637,59.3696,-7.79964,9.54517,6.73415,-18.5237,-33.8473,-9.77811,108.715,72.212,-109.804,-746.684,881.063,-400.494
20,0,-10.264,,-10.2325,0.112536,-47.85,8.19604,,-26.6813,22.7639,59.3688,-7.7912,9.56763,6.71852,-18.5352,-33.8744,-9.78908,108.661,72.2265,-109.731,-746.667,881.135,-400.508
21,0,-10.2445,,-10.2065,0.0630585,-47.8435,8.19361,,-26.6812,22.7744,59.373,-7.79017,9.58978,6.69178,-18.5314,-33.8869,-9.82461,108.743,72.2257,-109.786,-746.514,881.235,-400.474
22,0,-10.2472,,-10.1531,-0.0475817,-47.841,8.11359,,-26.7048,22.8434,59.405,-7.76392,9.62545,6.54969,-18.5267,-33.8466,-10.0027,108.997,72.1945,-109.91,-746.266,881.284,-400.466
23,0,-10.3232,,-10.2229,0.0605667,-47.8477,8.28771,,-26.6994,22.8444,59.4181,-7.71245,9.5857,6.72783,-18.5321,-33.9305,-9.82243,108.773,72.2724,-109.856,-746.502,881.206,-400.488
24,0,-10.3199,,-10.2289,0.0555982,-47.8475,8.28363,,-26.6958,22.8672,59.4284,-7.71018,9.60193,6.72133,-18.5257,-33.9425,-9.83415,108.8,72.2645,-109.877,-746.349,881.143,-400.482
25,0,-10.3404,,-10.2455,0.0625748,-47.8465,8.29879,,-26.697,22.897,59.4436,-7.69047,9.59902,6.75196,-18.5042,-33.9575,-9.80567,108.78,72.2796,-109.886,-746.31,881.146,-400.461
26,0,-10.3202,,-10.2492,0.0615229,-47.8471,8.27263,,-26.6997,22.9075,59.4485,-7.65811,9.58098,6.80153,-18.4075,-33.996,-9.74741,108.87,72.3179,-110.004,-746.185,881.141,-400.209
27,0,-10.3104,,-10.2384,0.0339755,-47.8445,8.27443,,-26.6932,22.9106,59.4463,-7.65149,9.61975,6.73551,-18.4624,-34.0054,-9.81259,108.814,72.325,-109.896,-746.245,881.218,-400.4
28,0,-10.2771,,-10.2164,-0.0020862,-47.8361,8.25368,,-26.6976,22.9169,59.4471,-7.68352,9.64934,6.72556,-18.4685,-34.0275,-9.82562,108.864,72.3038,-109.935,-746.179,881.284,-400.361
29,0,-10.3181,,-10.2224,-0.00314957,-47.8338,8.21964,,-26.715,22.9387,59.4561,-7.68529,9.65743,6.74757,-18.4446,-34.049,-9.79766,108.875,72.2862,-109.968,-746.154,881.166,-400.276
30,0,-10.3516,,-10.2475,0.0251897,-47.8362,8.24114,,-26.7243,22.9428,59.4596,-7.66224,9.65681,6.78657,-18.4324,-34.0862,-9.74502,108.771,72.303,-109.901,-746.121,881.057,-400.264
31,0,-10.3516,,-10.2488,0.00487505,-47.8358,8.23098,,-26.7292,22.9683,59.4689,-7.64044,9.66069,6.77449,-18.4016,-34.0873,-9.76583,108.886,72.3072,-110.004,-745.98,880.983,-400.253
32,0,-10.3449,,-10.2638,0.0144928,-47.8331,8.28016,,-26.7306,22.9876,59.4804,-7.6312,9.65825,6.81872,-18.3867,-34.1086,-9.7334,108.869,72.3338,-110.028,-746.013,880.923,-400.277
33,0,-10.3232,,-10.2532,-0.0145598,-47.8294,8.26063,,-26.7353,22.9992,59.4831,-7.63001,9.68547,6.77821,-18.4025,-34.117,-9.77583,108.87,72.3311,-109.987,-745.923,881.022,-400.28
