Joints
100
,,EXO_pre_exp:L_Femur_L_Tibia,EXO_pre_exp:L_Foot_L_Toe,EXO_pre_exp:L_Tibia_L_Foot,,,EXO_pre_exp:R_Femur_R_Tibia,EXO_pre_exp:R_Foot_R_Toe,EXO_pre_exp:R_Tibia_R_Foot,,,EXO_pre_exp:Root_L_Femur,,,EXO_pre_exp:Root_R_Femur,,,EXO_pre_exp:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,80.1638,,-30.594,6.00158,-37.3642,78.4622,,-26.3059,11.3992,37.9684,-36.3051,-9.352,5.26465,-35.3054,-0.661238,-13.5076,-75.1687,67.2545,69.8529,-2377.04,758.802,-65.1078
2,0,80.1002,,-30.619,6.00252,-37.3546,78.4506,,-26.3545,11.3763,37.9606,-36.4206,-9.34705,5.28796,-35.439,-0.663438,-13.4977,-74.9856,67.4334,69.6781,-2376.81,759.089,-65.202
3,0,80.047,,-30.6934,5.99352,-37.3272,78.2814,,-26.5066,11.2898,37.9133,-36.6296,-9.32786,5.25956,-35.6148,-0.695091,-13.5504,-74.52,67.6795,69.3141,-2376.7,759.58,-65.488
4,0,79.9306,,-30.7692,6.00298,-37.2975,78.2464,,-26.6189,11.248,37.8986,-36.847,-9.32795,5.28133,-35.7904,-0.721531,-13.5414,-74.5976,68.0059,69.3794,-2376.56,760.317,-65.082
5,0,79.8343,,-30.8864,5.99891,-37.2532,78.0436,,-26.8332,11.1507,37.846,-37.1175,-9.31386,5.27465,-36.0233,-0.773727,-13.5825,-74.1425,68.329,68.9986,-2376.5,760.531,-65.2994
6,0,79.6734,,-30.9956,6.01048,-37.2106,78.017,,-26.9805,11.1242,37.8354,-37.3663,-9.31882,5.33367,-36.2332,-0.816353,-13.5481,-74.2991,68.7277,69.0973,-2376.38,760.987,-64.8146
7,0,79.5296,,-31.1155,6.00546,-37.1653,77.9761,,-27.1442,11.0721,37.8163,-37.5899,-9.30491,5.383,-36.4981,-0.883389,-13.5471,-74.0009,69.0651,68.81,-2376.17,761.166,-64.799
8,0,79.4957,,-31.2564,5.99562,-37.1126,77.8945,,-27.2836,11.0627,37.8112,-37.8073,-9.29002,5.43976,-36.6942,-0.908419,-13.5505,-73.758,69.3056,68.562,-2376.3,760.933,-64.8982
9,0,79.4413,,-31.4257,5.96296,-37.0514,77.6842,,-27.5219,10.9809,37.7603,-38.0625,-9.25073,5.45038,-36.9532,-0.969528,-13.6094,-73.0077,69.5941,67.9202,-2376.18,760.905,-65.2673
10,0,79.2724,,-31.5607,5.93373,-37.003,78.5487,,-27.2407,11.0936,37.9133,-37.8264,-9.16974,5.60166,-37.2351,-1.11639,-13.6237,-73.3211,69.6359,68.1388,-2374.99,762.188,-64.5373
11,0,79.2155,,-31.7041,5.88925,-36.9529,78.1373,,-27.5672,11.0422,37.8918,-38.2759,-9.16225,5.62429,-37.5668,-1.10327,-13.635,-72.535,70.0141,67.4083,-2375.61,761.263,-65.0152
12,0,79.1062,,-31.7984,5.86393,-36.9196,78.4862,,-27.5522,11.1176,37.9936,-38.372,-9.1341,5.7463,-37.8584,-1.15489,-13.5994,-72.399,70.2739,67.2191,-2374.83,761.99,-64.5404
13,0,79.0739,,-31.9052,5.82744,-36.8827,78.0549,,-27.9036,11.0647,37.9715,-38.8383,-9.14314,5.8105,-38.1929,-1.15219,-13.6032,-71.3249,70.6621,66.2307,-2375.26,761.346,-65.0147
14,0,79.0031,,-31.9739,5.77826,-36.8615,77.819,,-28.2256,11.0343,37.957,-39.2175,-9.14085,5.89108,-38.469,-1.18439,-13.5489,-70.6679,71.0871,65.5632,-2375,761.228,-65.0386
15,0,78.9673,,-32.0066,5.71289,-36.8554,78.0865,,-28.3112,11.0822,38.0224,-39.3415,-9.10846,6.03333,-38.686,-1.27203,-13.5107,-70.4663,71.2951,65.3078,-2374.3,761.532,-64.6303
16,0,79.0164,,-32.0349,5.64524,-36.8512,77.6132,,-28.7479,11.0403,37.9775,-39.8559,-9.12518,6.11361,-38.8993,-1.23255,-13.4965,-69.685,71.6953,64.5713,-2374.37,760.827,-64.904
17,0,79.0692,,-32.0637,5.53422,-36.851,77.5389,,-29.0006,11.0171,37.9707,-40.1369,-9.0748,6.16785,-39.0753,-1.28223,-13.4835,-69.134,71.9706,64.0437,-2373.77,761.175,-64.8067
18,0,79.0841,,-32.0979,5.41824,-36.8493,77.4823,,-29.2421,10.9903,37.9663,-40.4303,-9.02553,6.24736,-39.2758,-1.33322,-13.4781,-68.6961,72.2584,63.6181,-2373.31,761.264,-64.6548
19,0,79.0763,,-32.1415,5.30196,-36.8442,77.4143,,-29.4836,10.9794,37.9681,-40.7362,-8.98005,6.34537,-39.4974,-1.36868,-13.4638,-68.286,72.5678,63.2055,-2373.03,761.3,-64.3989
20,0,79.0371,,-32.1632,5.20098,-36.8458,77.7011,,-29.5453,11.024,38.0373,-40.8777,-8.92271,6.48106,-39.7633,-1.43128,-13.4343,-67.9727,72.7817,62.8623,-2372.36,761.77,-63.9741
21,0,79.051,,-32.2268,5.07926,-36.834,77.5969,,-29.7604,11.0086,38.0544,-41.2106,-8.8634,6.53349,-40.0241,-1.43442,-13.4548,-67.2173,73.0703,62.1702,-2372.14,761.701,-64.1242
22,0,79.0034,,-32.3146,4.97963,-36.8115,77.4158,,-30.0273,10.9709,38.0515,-41.616,-8.8168,6.57917,-40.3238,-1.44563,-13.4601,-66.4937,73.4765,61.4947,-2371.89,761.596,-64.0673
23,0,78.9562,,-32.3902,4.86715,-36.7948,77.4244,,-30.2172,10.9396,38.0652,-41.907,-8.75257,6.65894,-40.638,-1.51031,-13.4574,-65.6048,73.7866,60.6608,-2371.4,761.917,-63.9729
24,0,76.5693,,-33.5185,1.13068,-36.6363,76.7137,,-30.0925,11.6073,38.2766,-42.5172,-10.5403,5.68185,-44.2775,0.954768,-14.997,-49.9884,74.3407,48.1293,-2372.62,761.268,-74.1026
25,0,77.1479,,-33.3598,1.35016,-36.6634,77.3705,,-30.4332,11.4789,38.257,-42.8709,-10.5971,5.61304,-43.5032,0.526911,-14.7553,-56.8536,75.4363,54.0994,-2371.98,761.671,-69.1521
26,0,77.1996,,-33.4877,-0.323336,-36.7663,77.3403,,-30.6019,11.6821,38.3314,-43.2921,-11.4273,5.27576,-44.5535,1.35292,-15.3497,-51.3511,75.3238,49.6971,-2371.26,761.096,-73.0581
27,0,77.4821,,-33.4162,-1.16685,-36.8861,77.5016,,-30.9157,11.6997,38.3434,-43.8432,-11.9211,5.0885,-44.7588,1.54448,-15.5596,-51.7864,75.8533,50.2723,-2371.1,760.719,-72.6141
28,0,77.6757,,-33.3633,-1.68007,-36.9789,77.6562,,-31.2443,11.6377,38.3341,-44.335,-12.2796,5.02175,-44.9782,1.53685,-15.656,-52.0457,76.3098,50.5483,-2370.94,760.232,-71.9469
29,0,77.8026,,-33.3652,-2.03365,-37.0449,77.7786,,-31.5617,11.5057,38.3025,-44.8065,-12.5484,4.95713,-45.2382,1.4229,-15.7272,-51.9439,76.7431,50.4772,-2370.76,759.844,-71.2324
30,0,77.9421,,-33.3856,-2.2693,-37.0967,77.7542,,-31.8997,11.3547,38.2581,-45.3085,-12.7763,4.91363,-45.4933,1.30141,-15.7758,-51.5023,77.1886,50.0309,-2370.37,759.535,-70.6788
31,0,78.0465,,-33.3972,-2.41272,-37.1475,77.5572,,-32.3478,11.157,38.1719,-45.8603,-12.965,4.90316,-45.7759,1.15407,-15.7582,-50.5846,77.6501,49.0808,-2370.2,759.169,-70.273
32,0,78.0331,,-33.4408,-2.54105,-37.1865,77.6537,,-32.6124,11.0104,38.1337,-46.201,-13.1108,4.93772,-46.0653,0.971088,-15.7415,-49.8461,78.0385,48.3043,-2369.5,759.312,-69.707
33,0,78.0598,,-33.5013,-2.66261,-37.2204,77.6127,,-32.9138,10.8655,38.0879,-46.6415,-13.2661,4.95147,-46.3622,0.836168,-15.719,-49.0481,78.4611,47.4634,-2369.28,759.007,-69.0565
34,0,78.1281,,-33.5387,-2.75002,-37.2595,77.584,,-33.2073,10.7263,38.0457,-47.0509,-13.3962,4.99777,-46.646,0.704659,-15.6563,-47.9784,78.8186,46.3333,-2368.87,758.822,-68.6199
35,0,78.1943,,-33.6096,-2.81084,-37.2893,77.4128,,-33.5269,10.5507,37.9777,-47.5267,-13.499,5.01748,-46.9184,0.584106,-15.6059,-46.5581,79.2048,44.9007,-2368.49,758.754,-68.1773
36,0,78.223,,-33.6756,-2.85966,-37.3198,77.4022,,-33.7554,10.3989,37.9388,-47.9293,-13.5848,5.09669,-47.198,0.462622,-15.5382,-45.35,79.5995,43.6317,-2367.76,758.975,-67.5284
37,0,78.1943,,-33.7564,-2.95374,-37.3498,77.6674,,-33.7829,10.3093,37.9671,-48.1809,-13.6511,5.1652,-47.5399,0.346669,-15.4606,-44.2661,79.9033,42.4805,-2366.91,759.491,-66.7839
38,0,78.2603,,-33.8468,-2.99731,-37.3754,77.6451,,-33.9231,10.1833,37.9596,-48.6065,-13.7243,5.17652,-47.8947,0.329979,-15.3987,-42.7212,80.2084,40.9278,-2366.67,759.083,-66.5606
39,0,78.2692,,-33.9339,-3.07939,-37.4037,77.7897,,-34.0058,10.0689,37.9684,-48.9829,-13.7907,5.24065,-48.3085,0.293043,-15.329,-41.1127,80.5353,39.2925,-2366.19,758.803,-66.0524
40,0,78.2779,,-34.0417,-3.14025,-37.4258,77.8449,,-34.0779,9.99743,37.9846,-49.3839,-13.8564,5.27695,-48.719,0.295825,-15.2893,-39.2498,80.8763,37.4311,-2365.61,758.698,-65.3433
41,0,78.32,,-34.1506,-3.20946,-37.4502,77.9638,,-34.14,9.95811,38.0019,-49.7516,-13.9114,5.31739,-49.1189,0.282728,-15.2716,-37.6262,81.1909,35.806,-2364.95,758.446,-64.4492
42,0,78.3196,,-34.2365,-3.2115,-37.4775,77.9575,,-34.2313,9.85312,38.0062,-50.2328,-13.9499,5.33973,-49.5694,0.27683,-15.1686,-34.5434,81.4795,32.7215,-2364.52,758.712,-64.6105
43,0,78.3167,,-34.3356,-3.22062,-37.5031,77.991,,-34.2939,9.7466,38.0181,-50.7201,-13.9899,5.365,-50.0466,0.287163,-15.0843,-31.5549,81.802,29.7389,-2364.01,758.82,-64.1147
44,0,78.3242,,-34.4122,-3.22391,-37.5339,77.9612,,-34.3875,9.62834,38.0217,-51.2592,-14.0353,5.39657,-50.5569,0.306619,-14.9849,-27.853,82.0928,26.0382,-2363.5,758.877,-63.8302
