Joints
100
,,EXO_pre_exp:L_Femur_L_Tibia,EXO_pre_exp:L_Foot_L_Toe,EXO_pre_exp:L_Tibia_L_Foot,,,EXO_pre_exp:R_Femur_R_Tibia,EXO_pre_exp:R_Foot_R_Toe,EXO_pre_exp:R_Tibia_R_Foot,,,EXO_pre_exp:Root_L_Femur,,,EXO_pre_exp:Root_R_Femur,,,EXO_pre_exp:World_Root,,,,,,
Frame,Sub Frame,R,,RX,RY,RZ,R,,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,RX,RY,RZ,TX,TY,TZ
,,deg,,deg,deg,deg,deg,,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,deg,mm,mm,mm
1,0,79.8548,,-27.3004,-7.29738,-40.6344,78.9818,,-25.6767,5.8395,33.491,-33.4394,-18.8349,8.36751,-38.3277,-0.792443,-14.2184,-42.5096,47.4755,31.5645,-2422.26,760.183,-49.7772
2,0,79.9849,,-27.279,-7.43806,-40.6533,79.3728,,-25.6885,5.86266,33.4918,-32.6834,-18.5904,8.45061,-37.9132,-0.524329,-14.1964,-43.3833,46.5792,32.4667,-2424.85,757.287,-49.5168
3,0,79.9781,,-27.2734,-7.53087,-40.6646,79.5174,,-25.738,5.87732,33.4779,-32.311,-18.4558,8.50164,-37.5766,-0.270624,-14.1857,-43.718,46.2775,32.8023,-2424.29,757.218,-49.3581
4,0,80.0674,,-27.3081,-7.61499,-40.6694,79.58,,-25.7333,5.85446,33.4662,-32.052,-18.305,8.43373,-37.251,-0.108719,-14.2096,-44.0516,46.0975,33.1206,-2424.02,757.566,-49.3166
5,0,79.9522,,-27.3129,-7.69501,-40.6778,79.6321,,-25.768,5.86113,33.4551,-31.8487,-18.2171,8.45532,-37.1279,0.0695339,-14.1806,-44.1134,45.907,33.222,-2423.65,757.563,-49.3642
6,0,79.8273,,-27.3417,-7.59381,-40.6624,79.3031,,-25.7865,5.81914,33.4325,-32.4434,-18.3656,8.40705,-37.4186,-0.0452748,-14.1584,-43.3391,46.6968,32.4438,-2420.89,760.433,-49.4189
7,0,79.874,,-27.3449,-7.73332,-40.6778,79.5581,,-25.7446,5.82943,33.4454,-31.968,-18.2452,8.46058,-37.3263,0.137866,-14.1877,-43.7545,45.9606,32.9852,-2423.61,757.621,-49.6427
8,0,80.0366,,-27.3258,-7.75961,-40.6833,79.8358,,-25.7766,5.76998,33.4237,-31.7755,-18.1934,8.46739,-37.0305,0.177408,-14.1911,-44.4341,45.9078,33.503,-2424.26,756.382,-49.223
9,0,79.9779,,-27.3349,-7.6654,-40.6714,79.5881,,-25.8422,5.70419,33.3867,-32.4553,-18.4274,8.42929,-37.336,-0.0145615,-14.1473,-43.7767,46.75,32.7557,-2421.58,758.855,-49.224
10,0,80.0747,,-27.3315,-7.75757,-40.6823,79.9275,,-25.8261,5.69159,33.3909,-31.983,-18.3198,8.52165,-37.2106,0.0576972,-14.1432,-44.3401,46.0837,33.3549,-2424.51,755.936,-48.982
11,0,80.0877,,-27.3223,-7.82746,-40.6915,80.0365,,-25.8609,5.67796,33.3752,-31.8403,-18.2979,8.55498,-37.0705,0.14115,-14.1156,-44.5162,45.9501,33.4924,-2424.34,755.667,-48.808
12,0,80.1208,,-27.3331,-7.93772,-40.7026,80.0726,,-25.8799,5.66744,33.3619,-31.7411,-18.2905,8.55847,-36.9804,0.231793,-14.1162,-44.5802,45.8604,33.5832,-2424.21,755.669,-48.7616
13,0,80.1591,,-27.336,-7.94901,-40.7035,80.1314,,-25.8936,5.63166,33.3479,-31.6529,-18.2544,8.56874,-36.8657,0.256268,-14.1007,-44.7349,45.82,33.6895,-2424.14,755.641,-48.6089
14,0,80.1267,,-27.3517,-8.02864,-40.7105,80.1541,,-25.901,5.61325,33.3404,-31.6082,-18.2545,8.57399,-36.8496,0.312627,-14.0953,-44.7138,45.7569,33.6972,-2424.01,755.678,-48.6155
15,0,79.9913,,-27.3867,-7.95253,-40.6973,79.8368,,-25.8978,5.59008,33.3347,-32.3496,-18.5067,8.52621,-37.2481,0.0973456,-14.055,-43.9121,46.6457,32.8558,-2421.49,758.505,-48.6861
16,0,79.9772,,-27.3848,-7.8536,-40.6864,79.7696,,-25.8694,5.55387,33.3391,-32.7199,-18.6638,8.55102,-37.6172,-0.118859,-14.0216,-43.5264,46.9163,32.4441,-2421.92,758.545,-48.7877
17,0,80.1039,,-27.3707,-7.93,-40.6969,80.0961,,-25.8528,5.5524,33.3523,-32.2375,-18.5392,8.62145,-37.4496,-0.0450938,-14.0167,-44.1525,46.2189,33.0836,-2424.86,755.623,-48.6118
