Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
1871954.0,0.34,-0.02,9.35,-0.04,0.03,-0.01,27.64
1894953.0,0.22,0.03,9.23,-0.05,0.03,-0.01,27.78
1917954.0,0.3,-0.01,9.31,-0.04,0.02,-0.01,27.68
1940953.0,0.32,0.04,9.27,-0.04,0.03,-0.01,27.78
1963954.0,0.3,0.03,9.24,-0.04,0.03,-0.01,27.73
1986954.0,0.4,0.07,9.26,-0.04,0.03,-0.01,27.64
2009954.0,0.36,0.02,9.13,-0.04,0.03,-0.01,27.82
2032954.0,0.32,0.0,9.11,-0.04,0.03,-0.01,27.73
2055954.0,0.3,0.04,9.17,-0.04,0.03,-0.01,27.64
2078954.0,0.31,-0.05,9.22,-0.05,0.02,-0.01,27.68
2101954.0,0.37,0.04,9.15,-0.04,0.03,-0.01,27.68
2124954.0,0.34,0.02,9.19,-0.04,0.03,-0.01,27.68
2147954.0,0.23,0.01,9.21,-0.04,0.03,-0.01,27.68
2170954.0,0.32,0.0,9.23,-0.04,0.02,-0.01,27.64
2193954.0,0.3,-0.01,9.31,-0.04,0.03,-0.01,27.73
2216954.0,0.34,0.02,9.22,-0.04,0.02,-0.01,27.73
2239954.0,0.38,0.02,9.26,-0.04,0.02,-0.01,27.73
2262954.0,0.35,0.0,9.19,-0.04,0.02,-0.01,27.59
2285954.0,0.4,-0.06,9.23,-0.04,0.03,-0.01,27.68
2308954.0,0.32,0.0,9.23,-0.04,0.03,-0.01,27.68
2331954.0,0.34,-0.02,9.12,-0.04,0.03,-0.01,27.68
2354954.0,0.3,0.03,9.32,-0.04,0.03,-0.01,27.68
2377954.0,0.29,-0.0,9.2,-0.04,0.03,-0.01,27.64
2400954.0,0.37,-0.0,9.28,-0.04,0.02,-0.01,27.64
2423954.0,0.34,0.07,9.25,-0.04,0.03,-0.01,27.73
2446954.0,0.37,0.03,9.27,-0.04,0.02,-0.01,27.73
2469953.0,0.34,0.05,9.27,-0.04,0.03,-0.01,27.78
2492954.0,0.29,-0.01,9.16,-0.04,0.03,-0.01,27.68
2515954.0,0.32,-0.05,9.21,-0.04,0.03,-0.01,27.68
2538954.0,0.32,-0.0,9.3,-0.05,0.03,-0.01,27.68
2561954.0,0.31,0.06,9.36,-0.05,0.03,-0.01,27.73
2584954.0,0.31,-0.01,9.22,-0.04,0.03,-0.01,27.73
2607954.0,0.37,0.07,9.26,-0.04,0.03,-0.01,27.73
2630954.0,0.27,-0.02,9.29,-0.04,0.03,-0.0,27.64
2653954.0,0.35,-0.02,9.19,-0.05,0.03,-0.01,27.64
2676954.0,0.36,-0.02,9.22,-0.04,0.03,-0.01,27.73
2699954.0,0.29,0.06,9.13,-0.04,0.03,-0.01,27.68
2722954.0,0.32,0.0,9.15,-0.04,0.03,-0.01,27.68
2745954.0,0.36,-0.01,9.18,-0.05,0.03,-0.01,27.68
2768954.0,0.34,0.06,9.18,-0.04,0.03,-0.01,27.64
2791954.0,0.39,-0.02,9.22,-0.05,0.03,-0.01,27.73
2814954.0,0.3,-0.01,9.22,-0.05,0.03,-0.01,27.73
2837954.0,0.31,0.02,9.29,-0.04,0.03,-0.01,27.64
2860954.0,0.31,-0.02,9.09,-0.04,0.03,-0.01,27.68
2883953.0,0.26,-0.04,9.15,-0.04,0.02,-0.01,27.78
2906954.0,0.31,0.0,9.16,-0.04,0.03,-0.01,27.68
2929954.0,0.35,0.04,9.19,-0.04,0.03,-0.01,27.68
2952954.0,0.3,-0.0,9.22,-0.04,0.03,-0.01,27.59
2975954.0,0.36,0.04,9.17,-0.05,0.03,-0.01,27.82
2998954.0,0.32,-0.03,9.08,-0.05,0.03,-0.01,27.73
3021954.0,0.3,-0.01,9.29,-0.04,0.03,-0.01,27.64
3044954.0,0.33,-0.0,9.24,-0.04,0.03,-0.01,27.64
3067953.0,0.31,0.04,9.22,-0.04,0.03,-0.01,27.78
3090954.0,0.37,-0.03,9.22,-0.04,0.03,-0.01,27.68
3113954.0,0.32,0.01,9.29,-0.04,0.03,-0.01,27.68
3136954.0,0.32,-0.02,9.28,-0.05,0.03,-0.01,27.68
3159954.0,0.3,0.06,9.19,-0.04,0.03,-0.01,27.68
3182954.0,0.33,-0.0,9.24,-0.04,0.03,-0.01,27.64
3205954.0,0.34,-0.02,9.23,-0.04,0.03,-0.01,27.73
3228954.0,0.28,-0.03,9.2,-0.04,0.03,-0.01,27.73
3251954.0,0.36,0.02,9.26,-0.04,0.03,-0.01,27.73
3274954.0,0.33,0.05,9.23,-0.04,0.03,-0.01,27.68
3297953.0,0.32,0.03,9.26,-0.04,0.03,-0.01,27.78
3320954.0,0.31,0.0,9.27,-0.04,0.03,-0.01,27.68
3343953.0,0.29,-0.06,9.08,-0.04,0.03,-0.01,27.78
3366954.0,0.37,0.06,9.23,-0.04,0.03,-0.01,27.73
3389954.0,0.31,0.01,9.2,-0.05,0.03,-0.01,27.64
3412954.0,0.32,0.0,9.21,-0.04,0.03,-0.01,27.73
3435954.0,0.32,-0.04,9.2,-0.04,0.03,-0.01,27.73
3458954.0,0.31,0.01,9.13,-0.04,0.03,-0.01,27.73
3481954.0,0.38,0.01,9.23,-0.04,0.03,-0.01,27.73
3504954.0,0.34,-0.0,9.2,-0.04,0.02,-0.01,27.68
3527953.0,0.32,-0.03,9.22,-0.04,0.03,-0.01,27.78
3550953.0,0.35,0.1,9.13,-0.04,0.03,-0.01,27.78
3573954.0,0.32,0.01,9.17,-0.04,0.03,-0.01,27.64
3596954.0,0.42,-0.05,9.19,-0.05,0.03,-0.01,27.64
3619954.0,0.28,-0.01,9.28,-0.04,0.03,-0.01,27.73
3642954.0,0.31,-0.01,9.18,-0.04,0.03,-0.01,27.73
3665954.0,0.34,0.06,9.21,-0.04,0.03,-0.01,27.68
3688954.0,0.29,-0.03,9.23,-0.04,0.03,-0.01,27.68
3711953.0,0.31,0.01,9.19,-0.05,0.03,-0.01,27.78
3734954.0,0.3,-0.01,9.23,-0.05,0.03,-0.01,27.68
3757953.0,0.38,0.02,9.24,-0.05,0.02,-0.01,27.78
3780954.0,0.26,-0.03,9.25,-0.05,0.03,-0.01,27.64
3803954.0,0.24,0.01,9.24,-0.04,0.03,-0.01,27.64
3826954.0,0.29,-0.03,9.12,-0.04,0.03,-0.01,27.73
3849954.0,0.32,-0.03,9.33,-0.04,0.03,-0.01,27.73
3872954.0,0.35,0.0,9.09,-0.04,0.03,-0.01,27.68
3895953.0,0.31,0.0,9.32,-0.04,0.03,-0.01,27.78
3918953.0,0.37,0.05,9.43,-0.04,0.03,-0.01,27.78
3941954.0,0.3,-0.06,9.45,-0.04,0.02,-0.01,27.68
3964954.0,0.34,0.02,9.3,-0.04,0.02,-0.01,27.64
3987954.0,0.32,-0.01,9.28,-0.04,0.03,-0.01,27.73
4010954.0,0.33,0.0,9.3,-0.04,0.03,-0.01,27.73
