Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
1871953.0,0.32,-0.05,9.07,-0.04,0.03,-0.01,24.91
1894953.0,0.28,-0.09,9.2,-0.04,0.03,-0.01,24.81
1917953.0,0.31,-0.06,9.23,-0.04,0.03,-0.01,24.77
1940953.0,0.29,-0.01,9.24,-0.04,0.03,-0.01,24.86
1963953.0,0.31,-0.13,9.17,-0.04,0.02,-0.01,24.86
1986953.0,0.28,-0.1,9.19,-0.04,0.02,-0.01,24.86
2009953.0,0.3,-0.09,9.27,-0.04,0.03,-0.01,24.81
2032953.0,0.3,-0.04,9.25,-0.04,0.02,-0.01,24.81
2055953.0,0.32,-0.13,9.27,-0.04,0.03,-0.01,24.91
2078953.0,0.31,-0.15,9.2,-0.04,0.02,-0.01,24.81
2101953.0,0.35,-0.1,9.21,-0.04,0.02,-0.01,24.81
2124953.0,0.35,-0.09,9.09,-0.04,0.02,-0.01,24.86
2147953.0,0.3,-0.09,9.25,-0.05,0.03,-0.01,24.86
2170953.0,0.37,-0.1,9.17,-0.04,0.03,-0.01,24.86
2193953.0,0.29,0.01,9.23,-0.05,0.02,-0.01,24.77
2216953.0,0.38,-0.1,9.14,-0.04,0.03,-0.01,24.81
2239953.0,0.28,-0.04,9.18,-0.04,0.03,-0.01,24.81
2262953.0,0.33,-0.11,9.21,-0.04,0.03,-0.01,24.72
2285953.0,0.29,-0.07,9.16,-0.04,0.03,-0.01,24.81
2308953.0,0.31,-0.09,9.29,-0.05,0.03,-0.01,24.86
2331953.0,0.31,-0.08,9.17,-0.04,0.03,-0.01,24.77
2354953.0,0.31,-0.03,9.27,-0.05,0.03,-0.01,24.86
2377953.0,0.34,-0.06,9.23,-0.05,0.03,-0.01,24.86
2400953.0,0.32,-0.11,9.24,-0.04,0.02,-0.01,24.81
2423953.0,0.27,-0.07,9.27,-0.05,0.03,-0.01,24.81
2446953.0,0.33,-0.09,9.22,-0.05,0.03,-0.01,24.91
2469953.0,0.35,-0.05,9.29,-0.04,0.03,-0.01,24.81
2492953.0,0.35,-0.05,9.24,-0.04,0.03,-0.01,24.86
2515953.0,0.27,-0.11,9.15,-0.04,0.03,-0.01,24.86
2538953.0,0.3,-0.05,9.17,-0.04,0.02,-0.01,24.86
2561953.0,0.28,-0.13,9.2,-0.04,0.03,-0.01,24.86
2584953.0,0.32,-0.07,9.22,-0.04,0.03,-0.01,24.86
2607953.0,0.3,-0.13,9.12,-0.04,0.02,-0.01,24.95
2630953.0,0.34,-0.05,9.22,-0.05,0.02,-0.01,24.91
2653953.0,0.32,-0.09,9.24,-0.04,0.03,-0.01,24.81
2676953.0,0.32,-0.12,9.17,-0.04,0.03,-0.01,24.86
2699953.0,0.29,-0.04,9.21,-0.04,0.03,-0.01,24.86
