Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
1871968.0,0.39,-3.87,7.72,-8.73,-5.65,-0.33,24.58
1894968.0,2.78,-6.72,4.95,-8.73,-4.37,-0.39,24.67
1917968.0,3.94,-8.13,5.15,-5.84,-2.8,-0.76,24.62
1940968.0,3.43,-7.86,4.1,-3.47,-1.95,-0.88,24.72
1963968.0,3.12,-7.7,4.13,-1.37,-0.82,-0.63,24.72
1986968.0,3.13,-7.69,4.42,1.37,0.06,-0.53,24.62
2009968.0,2.41,-6.88,3.64,3.31,1.47,-0.28,24.67
2032968.0,2.43,-7.66,5.39,5.23,3.26,0.04,24.67
2055968.0,2.5,-7.77,6.78,6.51,4.4,-0.09,24.67
2078968.0,1.39,-5.3,8.43,6.49,4.74,-0.14,24.67
2101968.0,-0.35,-3.23,8.91,5.94,4.51,0.07,24.72
2124968.0,0.42,-4.53,9.57,6.01,4.71,0.01,24.62
2147968.0,-1.9,-1.5,11.16,4.1,4.07,-0.29,24.72
2170968.0,-3.42,1.42,11.13,2.1,2.37,0.05,24.72
2193968.0,-2.86,1.35,6.99,2.71,2.28,0.35,24.62
2216968.0,-3.16,1.8,4.01,5.27,4.42,0.69,24.58
2239968.0,-4.41,2.96,6.08,6.66,5.75,0.76,24.67
2262968.0,-5.23,3.43,9.13,5.32,5.26,0.54,24.58
2285968.0,-6.11,5.69,8.61,4.06,3.12,0.69,24.67
2308968.0,-5.62,5.07,5.01,3.99,2.55,0.95,24.62
2331968.0,-4.74,3.41,3.33,3.77,2.49,0.59,24.62
2354968.0,-5.22,4.86,4.31,1.98,1.4,0.22,24.72
2377968.0,-5.96,7.32,4.25,-0.09,-0.4,0.24,24.72
2400968.0,-5.82,5.59,4.6,-0.83,-1.24,0.41,24.67
2423968.0,-4.25,3.44,5.33,-1.48,-1.73,0.14,24.77
2446968.0,-4.23,3.37,7.24,-3.93,-2.82,-0.34,24.67
2469968.0,-5.07,4.97,7.56,-6.35,-4.07,-0.26,24.58
2492968.0,-4.94,4.81,7.29,-7.75,-4.85,-0.06,24.72
2515968.0,-3.56,1.31,8.02,-7.36,-4.51,-0.38,24.72
2538968.0,-2.77,-0.34,8.26,-7.15,-4.2,-0.73,24.62
2561968.0,-1.11,-2.63,10.13,-6.9,-3.63,-0.93,24.62
2584968.0,-0.84,-2.79,11.62,-6.58,-4.03,-1.07,24.62
2607968.0,-0.48,-3.04,10.22,-6.23,-4.26,-1.05,24.62
2630968.0,0.22,-4.0,8.44,-5.31,-3.88,-0.85,24.67
2653968.0,0.22,-3.87,7.0,-3.87,-3.07,-0.63,24.67
2676968.0,0.5,-4.07,4.96,-1.73,-1.82,-0.19,24.72
2699968.0,1.24,-4.88,4.46,0.67,0.05,0.23,24.72
2722968.0,1.75,-6.31,5.58,3.36,1.97,0.25,24.72
2745968.0,1.68,-6.62,7.69,4.93,2.97,0.04,24.72
2768968.0,0.98,-4.88,9.67,3.72,2.44,-0.0,24.67
2791968.0,0.4,-3.4,10.28,1.53,1.0,0.3,24.77
2814968.0,-0.75,-2.05,8.73,1.3,0.95,0.76,24.67
2837968.0,-0.34,-3.06,6.84,4.01,2.56,0.64,24.67
2860968.0,-1.75,-1.63,7.79,6.61,4.54,0.35,24.62
2883968.0,-2.51,-0.27,10.41,6.88,4.92,0.11,24.72
2906968.0,-3.71,2.77,10.79,6.11,4.34,0.37,24.62
2929968.0,-3.9,2.52,10.9,5.3,3.68,0.47,24.62
2952968.0,-4.02,3.21,9.42,4.0,2.63,0.4,24.72
2975968.0,-4.62,5.07,6.71,3.32,2.08,0.42,24.67
2998968.0,-4.39,4.78,5.96,3.58,2.39,0.5,24.67
3021968.0,-4.55,4.44,6.51,2.69,1.4,0.5,24.67
