Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
1871953.0000,0.0123,0.0269,9.6719,0.0010,0.0040,-0.0000,24.9100
1894953.0000,-0.0277,-0.0131,9.8019,0.0010,0.0040,-0.0000,24.8100
1917953.0000,0.0023,0.0169,9.8319,0.0010,0.0040,-0.0000,24.7700
1940953.0000,-0.0177,0.0669,9.8419,0.0010,0.0040,-0.0000,24.8600
1963953.0000,0.0023,-0.0531,9.7719,0.0010,-0.0060,-0.0000,24.8600
1986953.0000,-0.0277,-0.0231,9.7919,0.0010,-0.0060,-0.0000,24.8600
2009953.0000,-0.0077,-0.0131,9.8719,0.0010,0.0040,-0.0000,24.8100
2032953.0000,-0.0077,0.0369,9.8519,0.0010,-0.0060,-0.0000,24.8100
2055953.0000,0.0123,-0.0531,9.8719,0.0010,0.0040,-0.0000,24.9100
2078953.0000,0.0023,-0.0731,9.8019,0.0010,-0.0060,-0.0000,24.8100
2101953.0000,0.0423,-0.0231,9.8119,0.0010,-0.0060,-0.0000,24.8100
2124953.0000,0.0423,-0.0131,9.6919,0.0010,-0.0060,-0.0000,24.8600
2147953.0000,-0.0077,-0.0131,9.8519,-0.0090,0.0040,-0.0000,24.8600
2170953.0000,0.0623,-0.0231,9.7719,0.0010,0.0040,-0.0000,24.8600
2193953.0000,-0.0177,0.0869,9.8319,-0.0090,-0.0060,-0.0000,24.7700
2216953.0000,0.0723,-0.0231,9.7419,0.0010,0.0040,-0.0000,24.8100
2239953.0000,-0.0277,0.0369,9.7819,0.0010,0.0040,-0.0000,24.8100
2262953.0000,0.0223,-0.0331,9.8119,0.0010,0.0040,-0.0000,24.7200
2285953.0000,-0.0177,0.0069,9.7619,0.0010,0.0040,-0.0000,24.8100
2308953.0000,0.0023,-0.0131,9.8919,-0.0090,0.0040,-0.0000,24.8600
2331953.0000,0.0023,-0.0031,9.7719,0.0010,0.0040,-0.0000,24.7700
2354953.0000,0.0023,0.0469,9.8719,-0.0090,0.0040,-0.0000,24.8600
2377953.0000,0.0323,0.0169,9.8319,-0.0090,0.0040,-0.0000,24.8600
2400953.0000,0.0123,-0.0331,9.8419,0.0010,-0.0060,-0.0000,24.8100
2423953.0000,-0.0377,0.0069,9.8719,-0.0090,0.0040,-0.0000,24.8100
2446953.0000,0.0223,-0.0131,9.8219,-0.0090,0.0040,-0.0000,24.9100
2469953.0000,0.0423,0.0269,9.8919,0.0010,0.0040,-0.0000,24.8100
2492953.0000,0.0423,0.0269,9.8419,0.0010,0.0040,-0.0000,24.8600
2515953.0000,-0.0377,-0.0331,9.7519,0.0010,0.0040,-0.0000,24.8600
2538953.0000,-0.0077,0.0269,9.7719,0.0010,-0.0060,-0.0000,24.8600
2561953.0000,-0.0277,-0.0531,9.8019,0.0010,0.0040,-0.0000,24.8600
2584953.0000,0.0123,0.0069,9.8219,0.0010,0.0040,-0.0000,24.8600
2607953.0000,-0.0077,-0.0531,9.7219,0.0010,-0.0060,-0.0000,24.9500
