Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
1871954.0000,0.0147,-0.0286,9.9400,0.0018,0.0011,-0.0001,27.6400
1894953.0000,-0.1053,0.0214,9.8200,-0.0082,0.0011,-0.0001,27.7800
1917954.0000,-0.0253,-0.0186,9.9000,0.0018,-0.0089,-0.0001,27.6800
1940953.0000,-0.0053,0.0314,9.8600,0.0018,0.0011,-0.0001,27.7800
1963954.0000,-0.0253,0.0214,9.8300,0.0018,0.0011,-0.0001,27.7300
1986954.0000,0.0747,0.0614,9.8500,0.0018,0.0011,-0.0001,27.6400
2009954.0000,0.0347,0.0114,9.7200,0.0018,0.0011,-0.0001,27.8200
2032954.0000,-0.0053,-0.0086,9.7000,0.0018,0.0011,-0.0001,27.7300
2055954.0000,-0.0253,0.0314,9.7600,0.0018,0.0011,-0.0001,27.6400
2078954.0000,-0.0153,-0.0586,9.8100,-0.0082,-0.0089,-0.0001,27.6800
2101954.0000,0.0447,0.0314,9.7400,0.0018,0.0011,-0.0001,27.6800
2124954.0000,0.0147,0.0114,9.7800,0.0018,0.0011,-0.0001,27.6800
2147954.0000,-0.0953,0.0014,9.8000,0.0018,0.0011,-0.0001,27.6800
2170954.0000,-0.0053,-0.0086,9.8200,0.0018,-0.0089,-0.0001,27.6400
2193954.0000,-0.0253,-0.0186,9.9000,0.0018,0.0011,-0.0001,27.7300
2216954.0000,0.0147,0.0114,9.8100,0.0018,-0.0089,-0.0001,27.7300
2239954.0000,0.0547,0.0114,9.8500,0.0018,-0.0089,-0.0001,27.7300
2262954.0000,0.0247,-0.0086,9.7800,0.0018,-0.0089,-0.0001,27.5900
2285954.0000,0.0747,-0.0686,9.8200,0.0018,0.0011,-0.0001,27.6800
2308954.0000,-0.0053,-0.0086,9.8200,0.0018,0.0011,-0.0001,27.6800
2331954.0000,0.0147,-0.0286,9.7100,0.0018,0.0011,-0.0001,27.6800
2354954.0000,-0.0253,0.0214,9.9100,0.0018,0.0011,-0.0001,27.6800
2377954.0000,-0.0353,-0.0086,9.7900,0.0018,0.0011,-0.0001,27.6400
2400954.0000,0.0447,-0.0086,9.8700,0.0018,-0.0089,-0.0001,27.6400
2423954.0000,0.0147,0.0614,9.8400,0.0018,0.0011,-0.0001,27.7300
2446954.0000,0.0447,0.0214,9.8600,0.0018,-0.0089,-0.0001,27.7300
2469953.0000,0.0147,0.0414,9.8600,0.0018,0.0011,-0.0001,27.7800
2492954.0000,-0.0353,-0.0186,9.7500,0.0018,0.0011,-0.0001,27.6800
2515954.0000,-0.0053,-0.0586,9.8000,0.0018,0.0011,-0.0001,27.6800
2538954.0000,-0.0053,-0.0086,9.8900,-0.0082,0.0011,-0.0001,27.6800
2561954.0000,-0.0153,0.0514,9.9500,-0.0082,0.0011,-0.0001,27.7300
2584954.0000,-0.0153,-0.0186,9.8100,0.0018,0.0011,-0.0001,27.7300
2607954.0000,0.0447,0.0614,9.8500,0.0018,0.0011,-0.0001,27.7300
