Time (us),AccelX (m/s^2),AccelY (m/s^2),AccelZ (m/s^2),GyroX (rad/s),GyroY (rad/s),GyroZ (rad/s),Temp (C)
1871962.0000,-0.0575,-0.0182,9.7769,-0.0091,0.0052,0.0000,22.7400
1894962.0000,-0.0175,0.0618,9.7169,0.0009,0.0052,0.0000,22.6900
1917962.0000,0.0425,0.0018,9.8169,0.0009,0.0052,0.0000,22.6000
1940962.0000,0.0225,0.0118,9.8169,0.0009,-0.0048,0.0000,22.6900
1963962.0000,0.0225,0.0118,9.7269,0.0009,-0.0048,0.0000,22.6900
1986962.0000,0.0525,0.0018,9.7569,0.0009,0.0052,0.0000,22.6500
2009962.0000,0.0125,0.0218,9.8369,0.0009,-0.0048,0.0000,22.6500
2032962.0000,-0.0175,0.0018,9.8169,0.0009,-0.0048,0.0000,22.7400
2055962.0000,-0.0275,0.0218,9.7469,0.0009,0.0052,0.0000,22.6500
2078962.0000,-0.0475,0.0118,9.8469,0.0009,-0.0048,0.0000,22.6000
2101962.0000,0.0525,0.0118,9.8469,-0.0091,-0.0048,0.0000,22.6000
2124962.0000,0.0425,0.0418,9.8369,0.0009,-0.0048,0.0000,22.6900
2147962.0000,0.0325,0.0118,9.8169,0.0009,-0.0048,0.0000,22.6900
2170962.0000,0.0725,-0.0782,9.7569,0.0009,0.0052,0.0000,22.7400
2193962.0000,-0.0375,0.0018,9.7869,0.0009,-0.0048,0.0000,22.6500
2216962.0000,-0.0275,0.1018,9.8769,0.0009,-0.0048,0.0000,22.6500
2239962.0000,-0.0275,-0.0682,9.7269,0.0009,-0.0048,0.0000,22.6500
2262962.0000,0.0025,-0.0082,9.7869,0.0009,0.0052,0.0000,22.7900
2285962.0000,-0.0275,-0.0582,9.7069,0.0009,-0.0048,0.0000,22.6900
2308962.0000,0.0125,0.0318,9.7569,-0.0091,-0.0048,0.0000,22.6900
2331962.0000,0.0325,0.0118,9.7369,-0.0091,-0.0048,0.0000,22.6000
2354962.0000,0.0225,0.0618,9.9469,-0.0091,-0.0048,0.0000,22.6500
2377962.0000,0.0525,0.0018,9.8369,0.0009,0.0052,0.0000,22.6500
2400962.0000,-0.0275,0.0418,9.8569,0.0009,0.0052,0.0000,22.6500
2423962.0000,0.0025,-0.0082,9.8169,0.0009,-0.0048,0.0000,22.6500
2446962.0000,-0.0575,-0.0182,9.8769,0.0009,-0.0048,0.0000,22.6900
2469962.0000,0.0125,0.0118,9.8469,0.0009,-0.0048,0.0000,22.6900
2492962.0000,-0.0175,-0.0282,9.8069,0.0009,-0.0048,0.0000,22.6000
2515962.0000,-0.0675,0.0418,9.8169,0.0009,-0.0048,0.0000,22.6900
2538962.0000,0.0325,0.0018,9.8569,0.0009,-0.0048,0.0000,22.6900
2561962.0000,-0.0375,0.0218,9.7369,0.0009,-0.0048,0.0000,22.7400
2584962.0000,0.0025,0.0118,9.7769,0.0009,0.0052,0.0000,22.7400
2607962.0000,0.0625,0.0218,9.8069,0.0009,-0.0048,0.0000,22.6500
2630962.0000,-0.0075,-0.0682,9.8769,0.0009,-0.0048,0.0000,22.6900
2653962.0000,-0.0475,0.0618,9.8069,0.0009,-0.0048,0.0000,22.6900
2676962.0000,0.0225,0.0018,9.8269,0.0009,0.0052,0.0000,22.6000
2699962.0000,0.0125,-0.0882,9.7669,0.0009,0.0052,0.0000,22.6900
2722962.0000,0.0725,0.0118,9.7569,0.0009,-0.0048,0.0000,22.6500
2745962.0000,0.0325,0.0418,9.8369,0.0009,0.0052,0.0000,22.7400
2768962.0000,-0.0275,-0.0482,9.7369,0.0009,-0.0048,0.0000,22.6500
2791962.0000,-0.0075,0.0018,9.8269,0.0009,0.0052,0.0000,22.6500
2814962.0000,0.0425,0.0418,9.8269,0.0009,-0.0048,0.0000,22.6900
2837962.0000,0.0025,-0.0382,9.7469,0.0009,0.0052,0.0000,22.6000
2860962.0000,0.0025,0.0118,9.7369,0.0009,-0.0048,0.0000,22.7900
2883962.0000,-0.0075,-0.0082,9.7069,0.0009,-0.0048,0.0000,22.6900
2906962.0000,0.0025,-0.0182,9.7669,0.0009,0.0052,0.0000,22.6500
2929962.0000,-0.0575,-0.0182,9.7469,0.0009,0.0052,0.0000,22.6500
2952962.0000,-0.0275,0.0018,9.8669,0.0009,-0.0048,0.0000,22.6500
2975962.0000,0.0725,0.0118,9.6569,0.0009,0.0052,0.0000,22.6500
2998962.0000,-0.0275,-0.0382,9.8169,0.0009,-0.0048,0.0000,22.6900
3021962.0000,-0.0075,-0.0982,9.8269,0.0009,-0.0048,0.0000,22.6900
3044962.0000,0.0325,0.0418,9.8269,0.0009,0.0052,0.0000,22.6900
3067962.0000,-0.0075,-0.0282,9.8069,0.0009,-0.0048,0.0000,22.6900
3090962.0000,-0.0175,-0.0782,9.7269,0.0009,-0.0048,0.0000,22.6500
3113962.0000,-0.0175,-0.0082,9.7969,-0.0091,0.0052,0.0000,22.7400
3136962.0000,-0.0475,0.0218,9.7869,-0.0091,-0.0048,0.0000,22.6500
3159962.0000,0.0225,0.0118,9.8369,0.0009,-0.0048,0.0000,22.6500
3182962.0000,-0.0175,-0.0382,9.8069,0.0009,-0.0048,0.0000,22.6900
3205962.0000,-0.0375,0.0118,9.9169,0.0009,0.0052,0.0000,22.6900
3228962.0000,0.0425,0.0318,9.7669,0.0009,-0.0048,0.0000,22.6900
3251962.0000,0.0225,0.0018,9.7869,0.0009,-0.0048,0.0000,22.6900
3274962.0000,0.0625,-0.0082,9.8369,0.0009,-0.0048,0.0000,22.6000
3297962.0000,-0.1075,0.0518,9.9269,0.0009,0.0052,0.0000,22.7400
3320962.0000,0.0125,-0.0582,9.8269,0.0009,-0.0048,0.0000,22.6500
3343962.0000,-0.0375,-0.0282,9.7969,0.0009,-0.0048,0.0000,22.6500
3366962.0000,0.0325,0.0518,9.7869,0.0009,-0.0048,0.0000,22.6000
3389962.0000,-0.0175,-0.0682,9.7869,0.0009,0.0052,0.0000,22.6000
